MKT,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,REL CAPITAL - DEPO. SETT.,        12.55,        12.55,        12.55,        12.00,        12.05,                 16050786.05,1323795,N, ,2104,        14.35,         7.75
N,RELIANCE HOME FINANCE LTD,         2.90,         2.85,         2.95,         2.80,         2.80,                  3355686.60,1177535,N, ,1206,         2.95,         1.05
N,RADHA MADHAV CO. LTD.,         3.20,         3.15,         3.35,         3.05,         3.25,                   112580.50,34657,N, ,59,         7.05,         2.40
N,ROHIT FERRO-TECH LIMITED,         1.30,         1.35,         1.35,         1.35,         1.35,                      945.00,700,N, ,3,         1.55,          .30
N,ROLLATAINERS LIMITED,         3.25,         3.30,         3.40,         3.25,         3.40,                   331035.70,98816,N, ,74,         4.05,         1.05
N,RELIANCE POWER LTD.,         3.50,         3.55,         3.55,         3.35,         3.45,                 27223628.20,7865584,N, ,4706,        32.70,         2.90
N,RSWM LIMITED,       137.80,       141.60,       141.60,       135.05,       138.35,                  1554328.55,11194,N, ,141,       143.00,        81.60
N,RUCHI SOYA INDUSTRIES LTD,       683.05,       690.00,       690.00,       671.55,       676.90,                  5230694.65,7710,N, ,582,       979.75,        16.20
N,RUCHI INFRASTRUCTURE LTD,         7.55,         7.40,         7.60,         7.40,         7.45,                   687891.50,91837,N, ,272,        25.85,         1.75
N,RUCHIRA PAPERS LIMITED,        64.70,        64.65,        65.30,        63.50,        64.45,                  1557349.20,24136,N, ,226,       173.10,        59.70
N,RAVINDER HEIGHTS LIMITED,        22.95,        21.85,        24.05,        21.85,        23.40,                  4186738.80,182805,N, ,679,        31.10,        21.85
G,S&S POWER SWITCHGEARS,         9.75,         9.75,         9.75,         9.30,         9.75,                     1097.25,113,N, ,5,        17.00,         9.25
N,SAGARDEEP ALLOYS LIMITED,        36.80,        35.50,        37.90,        35.50,        36.30,                   108070.95,2933,N, ,58,        89.85,        31.60
N,SANGHVI FOR & ENG LTD,        24.00,        24.00,        24.00,        23.50,        23.70,                     5206.50,219,N, ,3,        27.35,        12.00
N,SETUBANDHAN INFRA LTD,          .95,         1.00,         1.00,          .95,         1.00,                    79084.50,79532,N, ,55,         1.55,          .60
N,SHAKTI PUMPS (I) LTD,       298.65,       299.00,       309.90,       295.10,       300.45,                 14520630.45,47819,N, ,1114,       309.90,       165.00
N,SHEMAROO ENTER. LTD.,        74.45,        74.95,        77.50,        72.60,        74.55,                  2982152.70,40053,N, ,273,       543.10,        67.00
N,SHRIRAM PIST. & RING LTD,       602.85,       615.00,       615.00,       580.00,       581.10,                  1305604.35,2238,N, ,32,       753.40,       395.25
N,SICAL LOGISTICS LIMITED,        16.30,        16.90,        16.90,        15.80,        16.60,                  3006243.20,183548,N, ,460,       174.00,         8.35
N,STANDARD INDUSTRIES LTD.,         9.65,        10.10,        10.10,         9.55,        10.00,                    62189.40,6436,N, ,22,        14.70,         7.85
N,SILLY MONKS ENTERTAIN LTD,        24.65,        24.90,        25.00,        24.90,        25.00,                    20104.50,805,N, ,3,        26.65,        19.90
N,SINTEX INDUSTRIES LTD,         4.15,         4.20,         4.25,         4.00,         4.15,                 10859274.60,2628215,N, ,1889,         4.50,          .65
N,SITI NETWORKS LIMITED,         1.30,         1.35,         1.35,         1.25,         1.35,                 20282381.55,15338990,N, ,3127,         2.40,          .70
N,SMARTLINK HOLDINGS LTD,        88.55,        88.00,        89.00,        87.30,        88.15,                   504488.25,5736,N, ,84,       107.85,        72.10
G,SOMA TEXTILEI NDUSTRIES L,         2.80,         2.70,         2.70,         2.70,         2.70,                     6012.90,2227,N, ,3,         3.45,         2.50
N,SPML INFRA LIMITED,        13.50,        14.15,        14.15,        14.15,        14.15,                   757576.85,53539,N, ,62,       124.00,        11.20
N,SINTEX PLASTICS TECH LTD,         3.15,         3.05,         3.25,         3.05,         3.10,                  4569185.20,1455181,N, ,954,         3.60,          .70
N,INTERNATIONAL CONST LTD,        23.70,        24.45,        24.45,        23.50,        23.50,                     2343.00,96,N, ,9,        44.95,         4.75
N,SUJANA UNI. INDS. LTD.,          .40,          .40,          .45,          .35,          .40,                    61760.00,153936,N, ,111,          .60,          .10
N,SUMEET IND LIMITED,         2.70,         2.80,         2.80,         2.80,         2.80,                    81118.80,28971,N, ,39,         2.80,         1.50
N,SUMIT WOODS LIMITED,         9.55,        10.00,        10.00,         9.50,         9.60,                   191955.65,19991,N, ,80,        21.40,         9.15
N,SUZLON ENERGY LIMITED,         5.60,         5.85,         5.85,         5.85,         5.85,                 27981310.50,4783130,N, ,2310,         8.40,         2.75
N,ANANT RAJ GLOBAL LIMITED,        20.80,        21.50,        21.80,        21.05,        21.55,                 13982290.55,646536,N, ,555,        23.15,        19.05
G,TCIFINANCELTD-ROLL SETT,         4.95,         4.95,         4.95,         4.80,         4.80,                      825.25,170,N, ,4,        18.30,         4.80
N,TGB BANQUETS&HOTELS LTD,         5.80,         5.90,         6.05,         5.55,         6.05,                   136562.50,22985,N, ,39,         6.45,         2.95
N,THOMAS SCOTT (INDIA) LTD,         7.00,         7.10,         7.10,         7.00,         7.00,                      877.50,125,N, ,3,         7.45,         3.50
N,TIJARIA POLYPIPES LTD,         7.90,         8.20,         8.20,         7.65,         7.90,                   318345.25,41288,N, ,51,        26.45,         7.00
N,TIRUPATI FORGE LIMITED,        25.30,        25.30,        25.50,        24.90,        25.40,                    55648.25,2200,N, ,147,        27.40,        24.00
N,TAMILNADU TELECOMMUNICATI,         1.85,         1.90,         1.90,         1.90,         1.90,                       41.80,22,N, ,2,         2.00,          .95
N,TRF LIMITED,        99.30,        99.25,       100.50,        96.00,        98.20,                   526010.50,5388,N, ,92,       114.90,        61.05
N,TRANS & RECTI. LTD,        20.90,        21.50,        21.60,        20.20,        20.80,                  5176251.40,246529,N, ,663,        32.25,         9.20
N,TATA TELESERV(MAHARASTRA),         7.85,         8.00,         8.00,         7.70,         7.85,                 11553519.00,1459432,N, ,2947,         8.65,         1.80
N,TVS ELECTRONICS LTD,       127.30,       127.25,       129.50,       125.00,       125.85,                  1960811.15,15478,N, ,320,       142.00,        85.00
N,TV VISION LIMITED,         2.15,         2.15,         2.25,         2.05,         2.10,                    41212.70,19489,N, ,42,         2.40,         1.10
N,USHA MARTIN EDU & SOL LTD,         2.40,         2.50,         2.50,         2.45,         2.50,                    35268.50,14128,N, ,48,         2.50,          .70
N,URJA GLOBAL LIMITED,         5.55,         5.30,         5.80,         5.30,         5.80,                 43352216.50,7867728,N, ,6873,         6.70,         1.35
N,V2 RETAIL LIMITED,        99.70,       102.70,       102.95,        99.50,       101.30,                  3521680.00,34798,N, ,237,       466.00,        84.00
N,VASCON ENGINEERS LTD,        14.85,        14.25,        15.50,        14.25,        15.25,                  4651760.80,306842,N, ,575,        32.55,        13.00
N,VICEROY HOTELS LIMITED,         3.15,         3.30,         3.30,         3.10,         3.30,                   144977.35,44086,N, ,46,         3.75,          .70
N,VIJI FINANCE LIMITED,          .70,          .75,          .75,          .70,          .75,                   109552.15,149518,N, ,105,         2.45,          .50
N,VISAGAR POLYTEX LTD,         1.05,         1.10,         1.10,         1.05,         1.10,                  1939284.35,1769304,N, ,469,         1.10,          .25
N,WINDSOR MACHINES LIMITED,        17.80,        18.00,        18.00,        16.95,        17.45,                   958506.05,56012,N, ,131,        20.35,        10.90
N,THE WESTERN INDIA PLY LTD,        50.95,        48.50,        49.45,        48.50,        49.45,                     9893.70,202,N, ,4,        61.85,        43.00
N,W.S.INDUSTRIES (I) LTD.,         3.80,         3.95,         3.95,         3.65,         3.95,                    67331.25,17137,N, ,30,         5.05,          .80
N,XPRO INDIA LIMITED,        33.80,        34.50,        34.50,        33.70,        33.75,                    69504.50,2035,N, ,7,        42.00,        21.30
N,ZENITH EXPORTS LTD,        64.90,        62.50,        68.10,        61.70,        68.10,                   183801.95,2807,N, ,50,        85.75,        38.85
N,ZENITH STEEL PIP IND LTD,          .85,          .90,          .90,          .80,          .80,                    53084.50,63576,N, ,72,         1.15,          .30
N,ALCHEMIST LTD,         7.45,         7.15,         7.15,         7.10,         7.10,                    50714.55,7140,N, ,32,         7.80,         7.10
N,ARCOTECH LIMITED,         2.75,         2.80,         2.85,         2.65,         2.85,                   122974.05,44490,N, ,104,         2.90,         2.65
N,ATLAS CYCLE (HARYANA) LTD,        40.00,        39.20,        40.00,        39.05,        39.95,                    65108.75,1648,N, ,63,        90.40,        37.00
N,BALLARPUR INDUSTRIES LTD,         1.50,         1.50,         1.50,         1.45,         1.45,                 11063926.65,7562289,N, ,922,         1.75,         1.15
N,BARTRONICS INDIA LIMITED,         3.15,         3.30,         3.30,         3.30,         3.30,                    17424.00,5280,N, ,14,         3.75,          .45
N,BIL ENERGY SYSTEMS LTD,          .90,          .95,          .95,          .90,          .90,                   298024.10,321292,N, ,262,          .95,          .70
N,C&C CONST. LTD,         6.65,         6.50,         6.90,         6.40,         6.85,                   208131.15,30698,N, ,46,         6.90,          .95
N,CHROMATIC INDIA LTD,          .90,          .90,          .90,          .85,          .85,                    68031.95,78614,N, ,70,          .90,          .80
N,COX & KINGS LIMITED,         1.60,         1.55,         1.60,         1.55,         1.55,                   910467.30,584123,N, ,402,         2.00,          .40
N,DIAMOND POWER INFRA LTD,         1.25,         1.30,         1.30,         1.30,         1.30,                    17898.40,13768,N, ,21,         1.30,          .25
N,DIGJAM LIMITED,         4.00,         4.00,         4.00,         3.80,         3.80,                   182932.85,48028,N, ,67,         4.45,          .80
N,EASUN REYROLLE LTD,         3.00,         3.00,         3.00,         2.85,         2.95,                    39130.90,13465,N, ,29,         3.75,         1.55
N,EDUCOMP SOLUTIONS LTD,         3.60,         3.75,         3.75,         3.65,         3.75,                   304337.45,81352,N, ,125,         5.30,          .70
N,EMCO LIMITED,         2.10,         2.20,         2.20,         2.00,         2.05,                   242786.05,117375,N, ,109,         2.30,          .40
N,EURO CERAMICS LTD.,         1.80,         1.75,         1.75,         1.75,         1.75,                     4984.00,2848,N, ,6,         3.15,          .15
N,EURO MULTIVISION LTD,         2.00,         2.00,         2.00,         1.95,         1.95,                     1427.50,719,N, ,7,         2.00,         1.90
N,GLOBAL VEC HELICORP LTD,        55.05,        56.15,        56.15,        52.30,        53.00,                   639270.45,12089,N, ,124,        59.95,        52.30
N,GM BREWERIES LTD,       427.65,       425.00,       426.80,       415.00,       419.30,                  3899524.95,9312,N, ,339,       448.00,       415.00
N,GOENKA DIAMOND&JEWELS LTD,          .90,          .95,          .95,          .85,          .85,                   358097.35,410947,N, ,121,         1.75,          .15
N,GVK POW. & INFRA LTD.,         2.95,         3.00,         3.00,         2.90,         2.95,                  2858746.45,969101,N, ,737,         3.40,         2.65
N,HOUSING DEV & INFRA LTD,         6.90,         6.90,         6.90,         6.60,         6.65,                  4425052.10,662123,N, ,1102,         8.70,         1.25
N,HMT LTD -,        22.15,        22.95,        23.00,        21.50,        22.40,                   406312.60,18307,N, ,111,        23.70,         7.40
N,IL&FS ENG AND CONS CO LTD,         4.10,         4.20,         4.25,         3.95,         4.25,                   128067.05,31251,N, ,30,         5.35,         1.55
N,IL&FS TRANS NET LTD,         2.00,         2.10,         2.10,         2.10,         2.10,                    34824.30,16583,N, ,26,         2.35,          .85
N,INDOSOLAR LIMITED,         1.65,         1.70,         1.70,         1.60,         1.60,                   265788.80,161724,N, ,209,         2.00,          .35
N,JAIHIND PROJECTS LTD,         1.55,         1.55,         1.55,         1.55,         1.55,                      973.40,628,N, ,5,         1.85,          .60
N,JAIN STUDIOS LIMITED,         1.85,         1.90,         1.90,         1.90,         1.90,                     7202.90,3791,N, ,4,         1.95,         1.35
N,JET AIRWAYS (INDIA) LTD.,       104.55,       107.70,       109.75,       104.60,       109.75,                 11959544.25,109463,N, ,802,       116.10,        13.00
N,JYOTI STRUCTURES LTD,         5.50,         5.70,         5.75,         5.25,         5.75,                  1478952.75,261965,N, ,252,         5.75,         1.15
N,KARUTURI GLOBAL LIMITED,          .30,          .35,          .35,          .30,          .35,                   255120.15,788615,N, ,151,          .75,          .15
N,KSK ENERGY VENTURES LTD,          .65,          .70,          .70,          .60,          .70,                   313800.95,469011,N, ,217,          .75,          .35
N,LAKSHMI PRE SCRE LTD,         4.80,         4.85,         5.00,         4.85,         5.00,                    10860.00,2200,N, ,11,         5.60,         1.10
N,MELSTAR INFORMATION TECH,         2.30,         2.30,         2.40,         2.25,         2.25,                    18866.00,8144,N, ,22,         4.90,         1.65
N,METKORE ALLOYS & IND LTD,          .65,          .70,          .70,          .65,          .70,                    13268.80,19465,N, ,37,         1.25,          .15
N,MIC ELECTRONICS LIMITED,         1.05,         1.10,         1.10,         1.00,         1.00,                    72523.60,71546,N, ,78,         1.10,         1.00
N,NITIN FIRE PROT IND. LTD.,          .75,          .80,          .80,          .70,          .80,                   520777.75,676021,N, ,136,         1.20,          .25
N,OCL IRON AND STEEL LTD,         2.85,         2.80,         2.85,         2.75,         2.85,                    41201.70,14922,N, ,21,         5.30,         1.90
N,ORTEL COMMUNICATIONS LTD,         1.10,         1.10,         1.15,         1.10,         1.15,                    72783.75,64235,N, ,32,         1.95,          .35
G,PAE LIMITED,         2.35,         2.25,         2.25,         2.25,         2.25,                    65252.25,29001,N, ,11,         2.40,         2.25
N,PARABOLIC DRUGS LTD,         4.45,         4.65,         4.65,         4.65,         4.65,                   143364.15,30831,N, ,38,         4.65,          .65
N,POKARNA LIMITED,       174.55,       167.20,       176.90,       167.20,       171.80,                  8548771.90,49141,N, ,378,       176.90,       165.50
N,PUNJ LLOYD LIMITED,         2.05,         2.05,         2.15,         2.00,         2.05,                   541885.40,262191,N, ,243,         2.50,          .75
N,RAJ RAYON INDUSTRIES LTD,          .30,          .30,          .30,          .25,          .30,                   180436.95,626471,N, ,103,          .40,          .05
N,RAMSARUP INDUSTRIES LTD,          .85,          .90,          .90,          .80,          .85,                    30376.75,35043,N, ,44,          .90,          .10
N,REFEX INDUSTRIES LIMITED,       102.45,       100.00,       104.50,        97.50,       100.35,                  7266791.10,72130,N, ,798,       107.00,        97.50
N,SANWARIA CONSUMER LIMITED,         1.35,         1.35,         1.35,         1.30,         1.35,                  3453265.15,2642608,N, ,920,         1.95,         1.25
N,SEL MANU. CO. LTD.,         2.15,         2.15,         2.25,         2.15,         2.20,                   117644.25,53321,N, ,68,         3.45,          .35
N,SEZAL GLASS LIMITED,         3.45,         3.60,         3.60,         3.60,         3.60,                    21780.00,6050,N, ,9,         3.90,         1.50
N,SHIRPUR GOLD REFINERY LTD,         8.20,         8.40,         8.60,         7.85,         8.30,                   112911.15,14013,N, ,67,         8.60,         7.85
N,SPLENDID METAL PRODUCTS L,          .15,          .15,          .15,          .15,          .15,                      630.00,4200,N, ,2,          .40,          .05
N,SPENTEX IND. LTD,          .85,          .80,          .85,          .80,          .80,                    16317.50,20350,N, ,10,          .85,          .50
N,SUPREME INFRA. LTD,        11.50,        12.00,        12.00,        11.00,        11.95,                    30972.45,2628,N, ,6,        17.20,         6.25
N,SYNCOM HEALTHCARE LTD,         2.25,         2.35,         2.35,         2.35,         2.35,                    75550.15,32149,N, ,61,         2.70,         1.10
N,TANTIA CONST LTD,         1.80,         1.85,         1.85,         1.80,         1.85,                     6418.00,3480,N, ,8,         1.85,         1.30
N,TECHNOFAB ENG LTD,        10.20,        10.70,        10.70,         9.80,        10.50,                   127768.75,12721,N, ,46,        10.90,         8.65
N,THE INVEST TRUST OF IND L,       143.90,       146.80,       146.80,       136.75,       139.80,                   608861.35,4403,N, ,43,       146.80,       133.00
