SECURITY,NEW,PREVIOUS,NEW_STATUS
BERGER PAINTS (I) LTD,752.3,743,H
COROMANDEL INTERNTL. LTD,880.9,864.85,H
ICICI PRUD SENSEX ETF,554.4,515,H
MPHASIS LIMITED,1647,1629.2,H
INFO EDGE (I) LTD,4754.95,4739.9,H
ONE POINT ONE SOL LTD,17.75,17.15,H
URAVI T AND WEDG LAMP LTD,125.5,125,H
VAISHALI PHARMA LIMITED,58.35,57.75,H
AAKASH EXPLORATION SER L,71.45,69.5,H
AGRO TECH FOODS LIMITED,924,868.85,H
DHANI RS.1.10 PPD UP,191.8,190.6,H
SEC RED NCD SR. I,1242.79,1240,H
GODHA CABCON INSULAT LTD,40,38.1,H
HEIDELBERGCEMENT (I) LTD,223.6,221,H
KPIT TECHNOLOGIES LIMITED,135.7,133.4,H
UNSECURED NCD,1610,1600,H
SHAKTI PUMPS (I) LTD,309.9,306.4,H
SEC RED NCD 8.75% SR. II,1069,1065,H
FIRSTSOURCE SOLU. LTD.,115.4,110.25,H
ICICI PRUDENTIAL NV20 ETF,74.25,73,H
KOTAKMAMC - KTKNV20ETF,76,73.99,H
KSOLVES INDIA LIMITED,455,445,H
PENTA GOLD LIMITED,57.5,55.8,H
PILANI INV & IND COR LTD,2941,2888.7,H
POKARNA LIMITED,176.9,175.8,H
SHIRPUR GOLD REFINERY LTD,8.6,8.45,H
BOROSIL RENEWABLES LTD,279.95,254.5,H
ADITYBIRLA SL NIF ETF-GR,153.84,152.9,H
CANTABIL RETAIL LTD,430,395,H
GREENPANEL INDUSTRIES LTD,126.95,123.5,H
HDFCAMC - HEOFRG1126,8.1,8,H
PAISALO DIGITAL LIMITED,745.95,624.7,H
QUANTUM NIFTY ETF,1441,1423,H
UTIAMC - UTINIFTETF,1490.95,1480,H
ZYDUS WELLNESS LIMITED,2049.45,2039,H
COMPUTER AGE MNGT SER LTD,1865,1752,H
CONFIDENCE PETRO IND LTD.,41.6,41.4,H
HDFCAMC - HBANKETF,312.15,310,H
HOUSING DVPT FIN CORP LTD,730,695,H
SEC RED NCD SR. II,1200,1198,H
KOTAK MAHINDRA BANK LTD,2017,1996.1,H
KREBS BIOCHEMICALS & IND,148.8,137.75,H
L&T TECHNOLOGY SER. LTD.,2434,2420,H
MARINE ELECTRICAL (I) LTD,228,226.3,H
STERLITE TECHNOLOGIES LTD,184.4,174.4,H
TANTIA CONST LTD,1.85,1.8,H
THE INVEST TRUST OF IND L,146.8,146,H
VAIBHAV GLOBAL LIMITED,2303.8,2240.3,H
BOROSIL LIMITED,231.35,214.95,H
KHAITAN CHEM & FERT LTD,30,28.2,H
RAJ OIL MILLS LIMITED,43.8,41.75,H
ROSSARI BIOTECH LIMITED,1019,980,H
TIMKEN INDIA LTD.,1299,1228.8,H
ASSO ALCOHOLS & BREW LTD,319,310.2,H
DHANI LOANS & SERV LTD,988,876,H
DIGISPICE TECHNOLOGIES LT,21.05,20.05,H
HINDUSTAN FOODS LIMITED,1696.65,1558.2,H
ICICI PRUD NIFTY 100 ETF,161.5,160.4,H
MOST SHARES M50 ETF,136.72,135.8,H
MACPOWER CNC MACHINES LTD,109.2,105.4,H
SEC RED NCD 10.27% SR. VI,1100,1099.95,H
PARABOLIC DRUGS LTD,4.65,4.45,H
PUNJAB CHEM & CROP PROT L,838.5,825,H
SEC RED NCD 9% SR.V,1076.8,1070,H
TATASTEEL RS.2.50 PPD UP,198.75,196.05,H
UTIAMC - UTISENSETF,510,506.62,H
WANBURY LIMITED,42.35,40.9,H
XELPMOC DESIGN & TECH LTD,334.65,315,H
SHRENIK LIMITED,4.05,4.1,L
A B INFRABUILD LIMITED,5.2,5.45,L
DHANI LOANS & SERV LTD,826,1014.8,L
GLOBAL VEC HELICORP LTD,52.3,55.05,L
JUMP NETWORKS LIMITED,14.7,14.95,L
SUNDARMAMC - EC5RG,8.46,9.4,L
ALCHEMIST LTD,7.1,7.45,L
PAE LIMITED,2.25,2.35,L
REFEX INDUSTRIES LIMITED,97.5,100.55,L
SHIRPUR GOLD REFINERY LTD,7.85,7.95,L
SEC RED NCD 9.00% SR. VII,510.06,550,L
GM BREWERIES LTD,415,418,L
HB STOCKHOLDINGS LIMITED,6.2,6.4,L
TCIFINANCELTD-ROLL SETT,4.8,4.9,L
UNS RED NCD SR. III,610,622.01,L
ARCOTECH LIMITED,2.65,2.7,L
GOLDSTAR POWER LIMITED,21.75,22.65,L
RAVINDER HEIGHTS LIMITED,21.85,22.95,L
VALIANT ORGANICS LIMITED,1561.35,1573.1,L
FAIRCHEM ORGANICS LIMITED,605,618.15,L

