MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,N1,DHANILOANS,DHANI LOANS & SERV LTD,      1060.00,      1045.20,      1045.20,      1045.20,      1045.20,                    52260.00,50, ,1,      1078.65,       721.00
N,N1,ERFLNCDI,SEC RED NCD 8.42% SR. I,       990.90,       994.00,       995.00,       990.00,       995.00,                   334634.76,338, ,5,      1134.00,       701.05
N,N1,IRFC,BOND 8.00% PA TAX FREE S1,      1062.00,      1062.15,      1062.15,      1061.00,      1061.61,                  2465317.00,2322, ,16,      1194.00,      1025.00
N,N1,NABARD,7.35% TAX FREE TRI SRIIA,      1266.00,      1267.15,      1291.99,      1267.10,      1268.65,                  2409042.00,1900, ,4,      1688.80,      1122.00
N,N1,NHAI,BOND 8.20% PA TAX FREE S1,      1063.00,      1062.50,      1062.60,      1062.00,      1062.26,                  2104816.75,1981, ,17,      1178.00,      1045.00
N,N1,PFC,7.35% TAX FREE NCD,      1320.00,      1300.00,      1300.00,      1300.00,      1300.00,                    14300.00,11, ,1,      2010.00,      1133.10
N,N2,BRITANNIA,8.00% SEC RED NCD,        32.00,        32.00,        32.29,        31.98,        32.01,                    32487.19,1012, ,61,        36.00,        29.00
N,N2,DHANILOANS,DHANI LOANS & SERV LTD,      1177.00,      1176.00,      1180.00,      1176.00,      1180.00,                   481220.00,408, ,4,      1180.65,       732.00
N,N2,ERFLNCDI,SEC RED NCD 8.75% SR. II,      1065.00,      1056.00,      1069.00,      1056.00,      1069.00,                    12685.00,12, ,2,      1069.00,       611.05
N,N2,HUDCO,8.20 NCD05MAR27 FV 1000,      1289.00,      1290.60,      1292.90,      1289.99,      1289.99,                  7901322.35,6125, ,14,      1369.90,      1051.60
N,N2,IIFL,SEC RED NCD 9.60 % SR. I,      1086.90,      1087.15,      1087.15,      1087.15,      1087.15,                   119586.50,110, ,1,      1178.65,       970.00
N,N2,IRFC,BOND 8.10% PA TAX FREE S2,      1231.50,      1225.50,      1225.50,      1220.00,      1220.00,                  1222261.00,1000, ,6,      1298.90,      1132.00
N,N2,M&MFIN,9.00% UNSECURED NCD,      1130.00,      1134.00,      1134.00,      1134.00,      1134.00,                   130410.00,115, ,2,      1199.00,       845.00
N,N2,NABARD,7.64% TAX FREE TRI SRIIB,      1300.00,      1300.01,      1302.00,      1300.01,      1302.00,                   942955.00,725, ,3,      1304.74,      1100.00
N,N2,NHAI,BOND 8.30% PA TAX FREE S2,      1242.00,      1242.00,      1247.00,      1242.00,      1245.75,                  1304577.94,1047, ,35,      1300.00,      1029.85
N,N2,TATACAPHSG,SEC RED NCD 8.10% SR.I,      1093.00,      1050.00,      1050.00,      1030.00,      1042.95,                   882142.13,845,XI,41,      1169.00,       850.40
N,N3,DHANILOANS,DHANI LOANS & SERV LTD,       994.10,       991.00,       995.00,       991.00,       993.00,                   188510.00,190, ,5,       999.00,       705.00
N,N3,EHFLNCD,SEC RED NCD 9.75% SR. III,      1020.13,      1023.75,      1023.75,      1023.75,      1023.75,                     6142.50,6, ,1,      1049.99,       810.10
N,N3,ERFLNCDI,SEC RED NCD 8.65% SR. III,       936.00,       980.00,       983.00,       980.00,       983.00,                    34375.00,35, ,2,      1000.00,       651.05
N,N3,HUDCO,8.10 NCD 05MAR22 FV 1000,      1119.00,      1119.00,      1119.00,      1119.00,      1119.00,                   236109.00,211, ,3,      1277.50,      1010.00
N,N3,IIFL,SEC RED NCD SR. II,      1188.90,      1200.00,      1200.00,      1200.00,      1200.00,                   180000.00,150, ,2,      1200.00,       885.00
N,N3,M&MFIN,UNSECURED NCD,      1570.00,      1576.00,      1610.00,      1575.00,      1610.00,                   363492.80,230, ,8,      1610.00,      1085.00
N,N3,PFC,7.60% TAX FREE NCD,      1315.85,      1311.07,      1311.07,      1310.00,      1310.00,                  1310656.20,1000, ,8,      1370.00,      1031.00
N,N4,EHFLNCD,SEC RED NCD SR. IV,      1487.18,      1490.00,      1490.00,      1487.18,      1487.18,                    23812.62,16, ,4,      1525.00,      1000.10
N,N4,ERFLNCDI,SEC RED NCD 9.00% SR. IV,      1001.80,       990.00,      1001.00,       990.00,      1001.00,                   331782.00,335, ,4,      1050.00,       685.00
N,N4,HUDCO,7.34 NCD 16FEB23 TR1 SR1,      1116.21,      1139.99,      1139.99,      1139.99,      1139.99,                    11399.90,10, ,1,      1181.50,      1000.02
N,N4,IBUCCREDIT,SE RE NCD SR.IICIII&IV,      1121.03,      1121.00,      1145.00,      1121.00,      1145.00,                    56650.00,50, ,3,      1175.55,       650.10
N,N4,IIFCL,8.91% TAX FREE NCD,      1484.11,      1484.17,      1484.17,      1484.16,      1484.16,                    74208.43,50, ,3,      1494.00,      1240.00
N,N4,IIFL,SEC RED NCD 9.75 % SR.III,      1033.23,      1035.00,      1035.00,      1027.15,      1028.51,                  1099099.45,1067, ,43,      1057.80,       980.00
N,N4,IRFC,7.34 NCD 19FEB28 TR1 SR2,      1177.05,      1224.40,      1224.40,      1224.40,      1224.40,                     1224.40,1, ,1,      1349.90,      1095.00
N,N4,NHAI,8.52% TAX FREE TR I S IB,      1299.99,      1300.00,      1300.00,      1298.85,      1298.85,                    77942.50,60, ,2,      1349.00,      1057.10
N,N4,NHBTF2014,BOND 8.51%PA TF TR-I S1B,      6016.00,      6000.00,      6000.00,      6000.00,      6000.00,                    48000.00,8, ,1,      6490.00,      5105.00
N,N4,NTPC,8.66%S-R-NCD SERIES 1B,      1134.00,      1134.50,      1142.00,      1134.50,      1142.00,                   224395.00,197, ,3,      1512.00,      1090.00
N,N4,PFC,8.20% TAX FREE NCD,      1057.86,      1058.00,      1058.00,      1058.00,      1058.00,                   107916.00,102, ,2,      1148.99,      1015.00
N,N4,RHFL,SEC RED NCD 9.05% SR. II,       181.00,       181.00,       210.94,       181.00,       183.10,                     4919.04,27, ,3,       517.20,       112.00
N,N5,DHANILOANS,DHANI LOANS & SERV LTD,      1090.50,      1090.00,      1104.90,      1090.00,      1104.90,                    21949.00,20, ,2,      1120.00,       720.08
N,N5,EHFLNCD,SEC RED NCD 9.57% SR. V,       949.50,       949.50,       949.50,       949.50,       949.50,                     5697.00,6, ,1,      1098.99,       702.00
