GAIN_LOSS,SECURITY,CLOSE_PRIC,PREV_CL_PR,PERCENT_CG
L,ACC LIMITED,      1616.75,      1622.45,-0.35
L,ICICI PRU LIFE INS CO LTD,       499.95,       500.95,-0.2
L,PIDILITE INDUSTRIES LTD,      1754.00,      1757.35,-0.19
L,BANK OF BARODA,        62.35,        62.40,-0.08
L,BOSCH LIMITED,     12834.05,     12840.70,-0.05
 , , , , 
 ,OTHER SECURITIES, , , 
 , , , , 
G,MOHOTA INDUSTRIES LIMITED,        12.30,        10.25,20
G,RUPA & COMPANY LTD,       301.60,       251.35,19.99
G,SORIL INFRA RESOURCES LTD,       130.10,       108.45,19.96
G,ZUARI GLOBAL LIMITED,        76.95,        64.15,19.95
G,VAISHALI PHARMA LIMITED,        58.35,        48.65,19.94
G,T T LIMITED,        58.10,        48.45,19.92
G,KANORIA CHEMICALS & INDUS,        51.80,        43.20,19.91
G,PRITISH NANDY COMMUNICATI,        24.45,        20.40,19.85
G,FINEOTEX CHEMICAL LIMITED,        66.05,        55.15,19.76
G,PAISALO DIGITAL LIMITED,       741.15,       621.65,19.22
G,BHANDARI HOSIERY EXP LTD,         2.25,         1.90,18.42
G,FACT LTD,        64.30,        54.35,18.31
G,USHANTI COLOUR CHEM LTD,        34.00,        29.00,17.24
G,UNS RED NCD SR. III,       809.99,       699.40,15.81
G,HBL POWER SYSTEMS LTD.,        42.20,        36.80,14.67
G,SEC RED NCD 9.00% SR. VII,       697.99,       610.00,14.42
G,MATRIMONY.COM LIMITED,       922.60,       812.45,13.56
G,VARDHAMAN ACRYLICS LTD,        37.05,        32.70,13.3
G,TECHNO ELEC & ENG CO. LTD,       226.40,       199.90,13.26
G,UNS RED NCD 9.50% SR. VII,       644.99,       570.00,13.16
G,SNOWMAN LOGISTICS LTD.,        66.20,        58.60,12.97
G,DHANI LOANS & SERV LTD,       988.00,       876.00,12.79
G,ELECON ENG. CO. LTD,        42.65,        38.10,11.94
G,ALLSEC TECHNOLOGIES LTD,       294.55,       263.60,11.74
G,ZUARI AGRO CHEMICALS LTD,       105.50,        94.90,11.17
G,COMMERCIAL ENG & CO. LTD,        20.05,        18.05,11.08
G,MMTC LIMITED,        25.75,        23.20,10.99
G,INDO-NATIONAL LIMITED,       712.00,       641.55,10.98
G,SEC RED NCD 9.50% SR. VII,       680.00,       615.00,10.57
G,KHAITAN CHEM & FERT LTD,        28.95,        26.20,10.5
 , , , , 
L,SALASAR EXTERIOR CONT LTD,        32.80,        40.95,-19.9
L,DHANI LOANS & SERV LTD,       814.00,       981.00,-17.02
L,SHRENIK LIMITED,         4.05,         4.50,-10
L,BODHI TREE MULTIMEDIA LTD,        77.50,        85.90,-9.78
L,9.35% SRNCD SR V B,       676.00,       748.00,-9.63
L,BIRLASLAMC - ABSLRIF6RG,         6.52,         7.20,-9.44
L,SUNDARMAMC - M15RG,         6.10,         6.70,-8.96
L,DISH TV INDIA LTD.,        12.85,        13.90,-7.55
L,LTAMC - LTMFEOFR,        10.00,        10.81,-7.49
L,SUNDARMAMC - M14RG,         6.57,         7.10,-7.46
L,MRS BECTORS FOOD SPE LTD,       521.35,       559.15,-6.76
L,GTL INFRA.LTD,          .70,          .75,-6.67
