MKT,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
Y,Nifty 50,     13567.85,     13663.10,     13692.35,     13606.45,     13682.70,624788458261.89,3376139949,Y, ,18269445,     13692.35,      7511.10
Y,NIFTY50 EQL Wgt,     14370.65,     14482.40,     14489.10,     14416.50,     14479.30,0,0,Y, ,0,          .00,          .00
Y,NIFTY100 EQL Wgt,     15335.85,     15440.35,     15449.40,     15372.45,     15425.55,0,0,Y, ,0,          .00,          .00
Y,NIFTY100 LowVol30,     10633.20,     10699.80,     10721.55,     10680.00,     10712.55,0,0,Y, ,0,          .00,          .00
Y,NIFTY Alpha 50,     19300.30,     19396.15,     19523.65,     19349.85,     19495.80,0,0,Y, ,0,          .00,          .00
Y,NIFTY MIDCAP 150,      7771.35,      7812.25,      7865.80,      7811.30,      7858.70,0,0,Y, ,0,      7865.80,      4088.05
Y,NIFTY SMLCAP 50,      3429.60,      3449.00,      3481.20,      3444.60,      3465.10,0,0,Y, ,0,      3481.20,      1545.45
Y,NIFTY SMLCAP 250,      5925.10,      5968.75,      6001.40,      5962.80,      5981.80,0,0,Y, ,0,      6001.40,      2867.40
Y,NIFTY MIDSML 400,      7110.65,      7152.70,      7196.00,      7150.55,      7186.95,0,0,Y, ,0,      7196.00,      3650.20
Y,NIFTY200 QUALTY30,     11834.20,     11892.10,     11972.50,     11875.85,     11959.40,0,0,Y, ,0,          .00,          .00
Y,Nifty FinSrv25 50,     14282.40,     14401.95,     14421.80,     14297.05,     14382.85,0,0,Y, ,0,          .00,          .00
Y,NIFTY AlphaLowVol,     13387.90,     13459.25,     13517.40,     13422.85,     13499.20,0,0,Y, ,0,          .00,          .00
Y,Nifty200Momentm30,     13240.40,     13312.55,     13381.15,     13282.15,     13364.35,0,0,Y, ,0,          .00,          .00
Y,Nifty100ESGSecLdr,      2325.00,      2341.60,      2353.35,      2335.60,      2351.45,0,0,Y, ,0,          .00,          .00
Y,Nifty IT,     22715.10,     22830.40,     22933.80,     22701.55,     22906.25,0,0,Y, ,0,     22933.80,     10991.25
Y,Nifty Next 50,     31972.70,     32166.10,     32243.40,     32040.40,     32143.85,0,0,Y, ,0,     32243.40,     18384.05
Y,Nifty Bank,     30691.05,     30920.35,     30932.25,     30587.10,     30698.40,0,0,Y, ,0,     32613.10,     16116.25
Y,NIFTY MIDCAP 100,     20668.05,     20786.20,     20931.00,     20779.05,     20906.45,0,0,Y, ,0,     20931.00,     10749.95
Y,Nifty 500,     11223.90,     11299.20,     11328.40,     11265.80,     11320.10,0,0,Y, ,0,     11328.40,      6151.60
Y,Nifty 100,     13697.70,     13792.15,     13817.75,     13735.95,     13808.05,0,0,Y, ,0,     13817.75,      7624.85
Y,Nifty Midcap 50,      5834.75,      5868.20,      5921.00,      5864.00,      5905.90,0,0,Y, ,0,      5921.00,      2855.35
Y,Nifty Realty,       289.00,       290.25,       307.45,       289.85,       303.85,0,0,Y, ,0,       336.35,       160.85
Y,Nifty Infra,      3652.45,      3677.60,      3686.50,      3660.90,      3682.70,0,0,Y, ,0,      3686.50,      2072.60
Y,Nifty Energy,     17281.35,     17440.60,     17456.60,     17316.30,     17383.15,0,0,Y, ,0,     17456.60,      9750.00
Y,Nifty FMCG,     33967.90,     34058.25,     34352.75,     34037.30,     34195.85,0,0,Y, ,0,     34596.05,     22699.05
Y,Nifty MNC,     15520.40,     15586.30,     15653.00,     15556.00,     15609.05,0,0,Y, ,0,     15653.00,      9648.20
Y,Nifty Pharma,     12432.60,     12492.90,     12578.40,     12437.85,     12547.50,0,0,Y, ,0,     12636.90,      6242.85
Y,Nifty PSE,      2895.45,      2925.05,      2935.70,      2907.50,      2916.05,0,0,Y, ,0,      3286.05,      1952.20
Y,Nifty PSU Bank,      1833.60,      1840.55,      1846.45,      1794.10,      1803.75,0,0,Y, ,0,      2587.20,      1078.45
Y,Nifty Serv Sector,     18887.15,     19026.80,     19062.95,     18920.30,     19042.95,0,0,Y, ,0,     19062.95,     10401.30
Y,India VIX,19.3450,19.3450,19.3975,18.6075,19.2000,0,0,Y, ,0,86.6350,9.6175
Y,Nifty Auto,      9149.75,      9239.45,      9290.95,      9207.40,      9239.10,0,0,Y, ,0,      9456.65,      4452.20
Y,Nifty Metal,      3214.15,      3248.45,      3277.95,      3236.45,      3271.75,0,0,Y, ,0,      3277.95,      1480.70
Y,Nifty Media,      1722.15,      1728.85,      1740.25,      1712.40,      1727.35,0,0,Y, ,0,      1918.50,       972.95
Y,NIFTY SMLCAP 100,      6892.70,      6944.40,      6991.15,      6933.60,      6962.35,0,0,Y, ,0,      6991.15,      3202.90
