GAIN_LOSS,SECURITY,CLOSE_PRIC,PREV_CL_PR,PERCENT_CG
 ,Nifty 50 Sec., , , 
 , , , , 
G,HDFC LTD,      2424.65,      2350.35,3.16
G,HINDALCO  INDUSTRIES  LTD,       251.45,       244.55,2.82
G,DIVI'S LABORATORIES LTD,      3717.90,      3628.40,2.47
G,OIL AND NATURAL GAS CORP.,       102.90,       100.45,2.44
G,TITAN COMPANY LIMITED,      1504.45,      1468.75,2.43
G,UPL LIMITED,       459.65,       448.80,2.42
G,BHARTI AIRTEL LIMITED,       516.20,       504.20,2.38
G,ASIAN PAINTS LIMITED,      2582.45,      2527.45,2.18
G,TATA MOTORS LIMITED,       182.55,       178.90,2.04
G,MAHINDRA & MAHINDRA LTD,       731.95,       717.95,1.95
G,TATA CONSULTANCY SERV LT,      2814.20,      2761.55,1.91
G,LARSEN & TOUBRO LTD.,      1268.25,      1246.25,1.77
G,POWER GRID CORP. LTD.,       196.20,       192.80,1.76
G,COAL INDIA LTD,       145.50,       143.10,1.68
G,WIPRO LTD,       358.40,       352.70,1.62
G,HDFC BANK LTD,      1410.70,      1391.30,1.39
G,JSW STEEL LIMITED,       370.60,       365.90,1.28
G,TATA STEEL LIMITED,       643.40,       635.35,1.27
G,HINDUSTAN UNILEVER LTD.,      2343.95,      2320.05,1.03
G,BAJAJ AUTO LIMITED,      3303.50,      3271.65,.97
G,INFOSYS LIMITED,      1165.70,      1154.60,.96
G,INDIAN OIL CORP LTD,        96.35,        95.45,.94
G,SUN PHARMACEUTICAL IND L,       576.60,       571.65,.87
G,NESTLE INDIA LIMITED,     18323.45,     18189.90,.73
G,CIPLA LTD,       786.80,       781.65,.66
G,BAJAJ FINANCE LIMITED,      5146.60,      5122.50,.47
G,MARUTI SUZUKI INDIA LTD.,      7796.35,      7765.25,.4
G,GRASIM INDUSTRIES LTD,       914.80,       912.00,.31
G,BHARAT PETROLEUM CORP  LT,       399.60,       398.60,.25
G,ITC LTD,       214.00,       213.55,.21
 , , , , 
L,ICICI BANK LTD.,       512.45,       518.05,-1.08
L,NTPC LTD,       104.90,       105.85,-0.9
L,ULTRATECH CEMENT LIMITED,      5113.00,      5156.85,-0.85
L,GAIL (INDIA) LTD,       124.40,       125.25,-0.68
L,TECH MAHINDRA LIMITED,       921.55,       927.05,-0.59
L,INDUSIND BANK LIMITED,       921.80,       926.75,-0.53
L,STATE BANK OF INDIA,       269.40,       270.65,-0.46
L,BAJAJ FINSERV LTD.,      9257.70,      9296.95,-0.42
L,HDFC LIFE INS CO LTD,       648.70,       651.45,-0.42
L,BRITANNIA INDUSTRIES LTD,      3752.60,      3765.55,-0.34
L,EICHER MOTORS LTD,      2470.10,      2475.20,-0.21
L,AXIS BANK LIMITED,       606.10,       607.10,-0.16
L,HCL TECHNOLOGIES LTD,       885.05,       886.00,-0.11
L,ADANI PORT & SEZ LTD,       475.55,       475.75,-0.04
L,SHREE CEMENT LIMITED,     24259.10,     24259.65,0
 , , , , 
 ,Nifty Next 50 Sec., , , 
 , , , , 
G,DLF LIMITED,       235.40,       214.55,9.72
G,HAVELLS INDIA LIMITED,       901.15,       864.80,4.2
G,HDFC AMC LIMITED,      2862.70,      2790.80,2.58
G,TATA CONSUMER PRODUCT LTD,       583.60,       571.30,2.15
G,HINDUSTAN PETROLEUM CORP,       230.60,       226.45,1.83
G,LUPIN LIMITED,       960.35,       944.40,1.69
G,ICICI LOMBARD GIC LIMITED,      1479.35,      1455.70,1.62
G,TORRENT PHARMACEUTICALS L,      2788.95,      2749.20,1.45
G,MUTHOOT FINANCE LIMITED,      1217.55,      1202.10,1.29
G,ICICI PRU LIFE INS CO LTD,       486.25,       480.15,1.27
G,MARICO LIMITED,       413.15,       408.50,1.14
G,BIOCON LIMITED.,       460.00,       455.30,1.03
G,BAJAJ HOLDINGS & INVS LTD,      3148.95,      3118.85,0.97
G,INDRAPRASTHA GAS LTD,       487.55,       483.15,0.91
G,BERGER PAINTS (I) LTD,       689.75,       684.25,0.8
G,L&T INFOTECH LIMITED,      3288.95,      3263.15,0.79
G,SBI CARDS & PAY SER LTD,       827.20,       820.85,0.77
G,BOSCH LIMITED,     13324.15,     13236.95,0.66
G,PIRAMAL ENTERPRISES LTD,      1457.60,      1448.65,0.62
G,ADANI GREEN ENERGY LTD,      1019.40,      1013.65,0.57
G,CADILA HEALTHCARE LIMITED,       469.00,       466.85,0.46
G,COLGATE PALMOLIVE LTD.,      1611.50,      1604.95,0.41
G,SIEMENS LTD,      1541.95,      1536.45,0.36
G,GENERAL INS CORP OF INDIA,       141.35,       140.85,0.35
G,PIDILITE INDUSTRIES LTD,      1625.95,      1620.45,0.34
