SECURITY,NEW,PREVIOUS,NEW_STATUS
BALLARPUR INDUSTRIES LTD,1.75,1.7,H
BERGER PAINTS (I) LTD,692.1,686.7,H
EDEL ETF NIFTY 100 QUAL30,408,406,H
INTELLECT DESIGN ARENA,330.6,315.75,H
NIP IND ETF MIDCAP 150,79.45,79.3,H
ORCHID PHARMA LIMITED,75.9,72.3,H
VERTOZ ADVERTISING LTD,217.1,216,H
SE RE NCD SR.II OPII,1180,1179,H
AAKASH EXPLORATION SER L,65.2,59.5,H
AARVI ENCON LIMITED,47.9,46,H
ACCURACY SHIPPING LIMITED,36.1,34.4,H
AGRO TECH FOODS LIMITED,854.9,828.8,H
EDELAMC - EMOFSR1RGG,11.82,11.44,H
KSK ENERGY VENTURES LTD,0.65,0.6,H
SHAKTI PUMPS (I) LTD,306.4,306,H
SEC RED NCD SR. VI,1203.12,1201.25,H
BAFNA PHARMACEUTICALS LTD,211.9,211.65,H
BKM INDUSTRIES LIMITED,1.15,1.1,H
DCM NOUVELLE LIMITED,43.5,43.4,H
DIXON TECHNO (INDIA) LTD,13695,13395.8,H
SEC RED NCD 8.75% SR. II,1059.99,1055.95,H
ESAB INDIA LTD,1827,1784.85,H
GALAXY SURFACTANTS LTD,2067.95,2050,H
URJA GLOBAL LIMITED,5.85,5.6,H
UTIAMC - UTIBANKETF,310,308.48,H
VARUN BEVERAGES LIMITED,984,974.9,H
ZICOM ELECT SEC SYS LTD,2.3,2.2,H
ADITYBIRLA SL NIF ETF-GR,150,149.63,H
DILIGENT MEDIA CORP LTD.,0.65,0.6,H
INDIA GRID TRUST,117.5,114.15,H
PAISALO DIGITAL LIMITED,500,488.9,H
QUANTUM NIFTY ETF,1413,1406,H
SBIAMC - SBIETFQLTY,122.9,122.7,H
SHRADHA INFRAPROJECTS LTD,67.95,66.15,H
SEC RED NCD 8.85% SR.IV,1098.85,1050,H
COMPUTER AGE MNGT SER LTD,1538,1533,H
CROMPT GREA CON ELEC LTD,368.1,342,H
DHANI LOANS & SERV LTD,1002,1000,H
HDFCAMC - HBANKETF,308,306.4,H
HOUSING DVPT FIN CORP LTD,628,588,H
HINDUJA GLOBAL SOLS. LTD.,1268,1253,H
ICICI PRUD NIFTY ETF,162.3,158.2,H
INDIAMART INTERMESH LTD,5550,5487.5,H
JET AIRWAYS (INDIA) LTD.,100.35,95.6,H
KOTAK MAHINDRA BANK LTD,1965,1958,H
MAZAGON DOCK SHIPBUIL LTD,227.9,216.95,H
MOHIT INDUSTRIES LTD,7.2,6.9,H
SPENTEX IND. LTD,0.8,0.75,H
AFFLE (INDIA) LIMITED,4072.45,3957.25,H
DYNACONS SYS & SOLN LTD,77.75,66,H
GODREJ PROPERTIES LTD,1404.85,1315,H
ICICIPRAMC - ICICIM150,79,78.77,H
JSW HOLDINGS LIMITED,4225,4119,H
TATAAML - NETF,166.36,166.02,H
RAJ OIL MILLS LIMITED,29.85,28.45,H
SEC RED NCD 9.12% SR. I,1110,1047,H
SYNCOM HEALTHCARE LTD,2.5,2.4,H
ADANI PORT & SEZ LTD,480.45,479.65,H
ARCHIDPLY DECOR LIMITED,31.25,29.9,H
BANKA BIOLOO LIMITED,59.45,54.05,H
BIGBLOC CONSTRUCTION LTD,160.95,153.3,H
BURGER KING INDIA LIMITED,194.4,162,H
DHANI SERVICES LIMITED,331,305.9,H
DIGISPICE TECHNOLOGIES LT,14.6,13.95,H
DIGJAM LIMITED,4.05,3.9,H
GLOBAL EDUCATION LIMITED,70.4,67.05,H
ICICI PR NIF LW VL 30 ETF,122,121,H
ICICI PRUD MIDCAP SEL ETF,84.4,81.9,H
NESTLE INDIA LIMITED,18734.95,18679,H
PUNJAB CHEM & CROP PROT L,777,765,H
TATASTEEL RS.2.50 PPD UP,195.85,182.9,H
SHRENIK LIMITED,4.55,5,L
SEC RED NCD SR. VII,886.16,913,L
UNS RED NCD 9.12% SR. IX,640,680.5,L
AYM SYNTEX LIMITED,39.1,40.05,L
CYBER MEDIA (INDIA) LTD.,2.3,4.3,L
SEC RED NCD 10.00% SR. VI,666,700,L
SINTERCOM INDIA LIMITED,68,70,L
SEC RED NCD 9.50% SR. VII,606,635,L
GOI LOAN  3.96% 2022,81.54,85.82,L
GOI LOAN 7.16% 2050,104.05,104.5,L
SURANI STEEL TUBES LTD.,18,18.05,L
VISHAL FABRICS LIMITED,58.95,90.25,L

