SECURITY,NEW,PREVIOUS,NEW_STATUS
BERGER PAINTS (I) LTD,712,692.1,H
EDEL ETF NIFTY 100 QUAL30,409.21,408,H
JUBILANT FOODWORKS LTD,2924,2817.9,H
NIP IND ETF MIDCAP 150,79.93,79.45,H
ORCHID PHARMA LIMITED,79.65,75.9,H
RUDRABHISHEK ENTERP LTD,106.65,104.45,H
SBI-ETF NIFTY 50,150.2,149.8,H
TGB BANQUETS&HOTELS LTD,6.45,5.05,H
V2 RETAIL LIMITED,106.15,104.4,H
VERTOZ ADVERTISING LTD,220.3,217.1,H
EQUITAS SMALL FIN BNK LTD,39.6,39.55,H
BOND 0% 2021 TR-1 SR-II,10942,10930,H
NIP IND ETF NIFTY 100,159.9,144,H
VIDEOCON INDUSTRIES LIMIT,9,8.65,H
GOI LOAN 7.40% 2035,111.3,108.15,H
AARVI ENCON LIMITED,49.8,47.9,H
ACCURACY SHIPPING LIMITED,37.9,36.1,H
AGRO TECH FOODS LIMITED,868.85,854.9,H
DHANI RS.1.10 PPD UP,152.5,151.4,H
HDFCAMC - HDFCSENETF,5099.99,5000,H
IMAGICAAWORLD ENT LTD,6.65,5.35,H
KSK ENERGY VENTURES LTD,0.7,0.65,H
MADHAV COPPER LIMITED,97.2,87.7,H
NITIN SPINNERS LIMITED,76.2,74,H
SEC RED NCD SR. VI,1203.55,1203.12,H
TATA CONSUMER PRODUCT LTD,593.4,591.95,H
BAFNA PHARMACEUTICALS LTD,222.45,211.9,H
BGR ENERGY SYSTEMS LTD,53.9,46.9,H
BHARAT GEARS LTD,97.65,88.2,H
BKM INDUSTRIES LIMITED,1.2,1.15,H
DIXON TECHNO (INDIA) LTD,13768.9,13695,H
ESAB INDIA LTD,1930,1827,H
NARAYANA HRUDAYALAYA LTD.,420,419.5,H
RUCHIRA PAPERS LIMITED,68.55,26.25,H
SRF LTD,5584,5447.95,H
UTIAMC - UTIBANKETF,310.31,310,H
UTIAMC - UTINEXT50,375,349.89,H
VARUN BEVERAGES LIMITED,999.75,984,H
ADITYBIRLA SL NIF ETF-GR,152.9,150,H
BOND 9.01%PA TF TR-I S 3B,7645,7630,H
PAISALO DIGITAL LIMITED,530,500,H
QUANTUM NIFTY ETF,1419,1413,H
SHRADHA INFRAPROJECTS LTD,70.35,67.95,H
CROMPT GREA CON ELEC LTD,393.65,368.1,H
HOUSING DVPT FIN CORP LTD,680,628,H
ICICI PRUD NIFTY ETF,166.6,162.3,H
BOND 0% 2021 TR-2 SR-II,10643.05,10640,H
INDIAMART INTERMESH LTD,5780,5550,H
JET AIRWAYS (INDIA) LTD.,105.35,100.35,H
KOTAK MAHINDRA BANK LTD,1969,1965,H
L&T TECHNOLOGY SER. LTD.,2000,1890,H
MOHIT INDUSTRIES LTD,7.5,7.2,H
TANTIA CONST LTD,1.55,1.5,H
VAIBHAV GLOBAL LIMITED,2195,2188,H
DYNACONS SYS & SOLN LTD,85.5,77.75,H
MOTILALAMC - G5,47.77,47.76,H
ICICIPRAMC - ICICIM150,79.7,79,H
TATAAML - NETF,166.48,166.36,H
PROLIFE INDUSTRIES LTD,60.75,58.35,H
RAJ OIL MILLS LIMITED,31.3,29.85,H
RSWM LIMITED,143,101.9,H
SYNCOM HEALTHCARE LTD,2.6,2.5,H
ARCHIDPLY DECOR LIMITED,32.75,31.25,H
ALEMBIC PHARMA LTD,1145,1128.9,H
BANKA BIOLOO LIMITED,62.4,59.45,H
BIGBLOC CONSTRUCTION LTD,168.95,160.95,H
BURGER KING INDIA LIMITED,213.8,194.4,H
DIGISPICE TECHNOLOGIES LT,15.3,14.6,H
DIGJAM LIMITED,4.25,4.05,H
GLOBAL EDUCATION LIMITED,73.9,70.4,H
PARABOLIC DRUGS LTD,3.45,3.3,H
PUNJAB CHEM & CROP PROT L,807.65,777,H
SEC RED NCD SR.X,1160,1135,H
JALAN TRANSOLU. INDIA LTD,2.75,2.85,L
SHEMAROO ENTER. LTD.,79.25,144,L
JET KNITWEARS LTD.,19,19.05,L
JUMP NETWORKS LIMITED,16.75,16.8,L
AYM SYNTEX LIMITED,38.45,39.1,L
SPML INFRA LIMITED,13.55,23.55,L
NILA SPACES LIMITED,1.55,2.65,L
TCIFINANCELTD-ROLL SETT,5,25.65,L
TRANS & RECTI. LTD,22,69.1,L
B.C. POWER CONTROLS LTD,6.85,13.7,L

