SECURITY,PREV_CL_PR,CLOSE_PRIC,NET_TRDQTY,NET_TRDVAL
JUBILANT FOODWORKS LTD,      2676.15,      2805.00,6950688,              19717595815.65
BAJAJ FINANCE LIMITED,      5146.60,      5286.70,3733152,              19545650192.25
RELIANCE INDUSTRIES LTD,      1976.55,      1985.60,9346460,              18593553236.80
HDFC LTD,      2424.65,      2494.60,7379515,              18267067625.05
HDFC BANK LTD,      1410.70,      1441.80,10962239,              15668891347.05
INDUSIND BANK LIMITED,       921.80,       935.80,14078222,              13205134801.75
ICICI BANK LTD.,       512.45,       510.40,23883288,              12236460854.55
BHARTI AIRTEL LIMITED,       516.20,       515.10,19654749,              10153858361.85
AXIS BANK LIMITED,       606.10,       605.40,14598759,               8851777346.15
TATA CONSULTANCY SERV LT,      2814.20,      2838.20,2863460,               8086236716.70
DIVI'S LABORATORIES LTD,      3717.90,      3824.70,2080618,               7940028568.45
INFOSYS LIMITED,      1165.70,      1159.20,6658153,               7742601947.25
STATE BANK OF INDIA,       269.40,       267.70,25904699,               6973309847.65
DR. REDDY'S LABORATORIES,      5038.95,      5072.85,1360601,               6933835693.75
LARSEN & TOUBRO LTD.,      1268.25,      1278.80,5345257,               6795871269.25
KOTAK MAHINDRA BANK LTD,      1952.55,      1965.45,3460370,               6764063345.85
HAVELLS INDIA LIMITED,       901.15,       911.05,7393369,               6761779977.60
PAGE INDUSTRIES LTD,     25889.55,     27244.00,246223,               6711071580.10
TATA MOTORS LIMITED,       182.55,       181.70,34101954,               6232261080.20
ZEE ENTERTAINMENT ENT LTD,       231.90,       225.90,25070715,               5823773666.85
MARUTI SUZUKI INDIA LTD.,      7796.35,      7694.00,734075,               5684646346.30
DLF LIMITED,       235.40,       234.30,22292093,               5230638252.70
SUN PHARMACEUTICAL IND L,       576.60,       571.35,9025916,               5224880692.30
LUPIN LIMITED,       960.35,       970.50,5264719,               5130036978.25
BAJAJ FINSERV LTD.,      9257.70,      9294.10,550738,               5126425024.35

