GAIN_LOSS,SECURITY,CLOSE_PRIC,PREV_CL_PR,PERCENT_CG
 ,Nifty 50 Sec., , , 
 , , , , 
G,HDFC LTD,      2494.60,      2424.65,2.88
G,DIVI'S LABORATORIES LTD,      3824.70,      3717.90,2.87
G,BAJAJ FINANCE LIMITED,      5286.70,      5146.60,2.72
G,HDFC BANK LTD,      1441.80,      1410.70,2.2
G,INDUSIND BANK LIMITED,       935.80,       921.80,1.52
G,ULTRATECH CEMENT LIMITED,      5171.80,      5113.00,1.15
G,SHREE CEMENT LIMITED,     24510.40,     24259.10,1.04
G,TECH MAHINDRA LIMITED,       930.10,       921.55,.93
G,HDFC LIFE INS CO LTD,       654.55,       648.70,.9
G,TATA CONSULTANCY SERV LT,      2838.20,      2814.20,.85
G,LARSEN & TOUBRO LTD.,      1278.80,      1268.25,.83
G,DR. REDDY'S LABORATORIES,      5072.85,      5038.95,.67
G,KOTAK MAHINDRA BANK LTD,      1965.45,      1952.55,.66
G,RELIANCE INDUSTRIES LTD,      1985.60,      1976.55,.46
G,BAJAJ FINSERV LTD.,      9294.10,      9257.70,.39
 , , , , 
L,HINDALCO  INDUSTRIES  LTD,       245.85,       251.45,-2.23
L,ADANI PORT & SEZ LTD,       467.75,       475.55,-1.64
L,POWER GRID CORP. LTD.,       193.30,       196.20,-1.48
L,COAL INDIA LTD,       143.45,       145.50,-1.41
L,OIL AND NATURAL GAS CORP.,       101.50,       102.90,-1.36
L,MARUTI SUZUKI INDIA LTD.,      7694.00,      7796.35,-1.31
L,TATA STEEL LIMITED,       635.30,       643.40,-1.26
L,HINDUSTAN UNILEVER LTD.,      2315.30,      2343.95,-1.22
L,JSW STEEL LIMITED,       366.20,       370.60,-1.19
L,BHARAT PETROLEUM CORP  LT,       395.40,       399.60,-1.05
L,BAJAJ AUTO LIMITED,      3270.45,      3303.50,-1
L,INDIAN OIL CORP LTD,        95.40,        96.35,-0.99
L,UPL LIMITED,       455.40,       459.65,-0.92
L,SUN PHARMACEUTICAL IND L,       571.35,       576.60,-0.91
L,HCL TECHNOLOGIES LTD,       879.35,       885.05,-0.64
L,STATE BANK OF INDIA,       267.70,       269.40,-0.63
L,BRITANNIA INDUSTRIES LTD,      3729.75,      3752.60,-0.61
L,INFOSYS LIMITED,      1159.20,      1165.70,-0.56
L,TATA MOTORS LIMITED,       181.70,       182.55,-0.47
L,CIPLA LTD,       783.20,       786.80,-0.46
L,ITC LTD,       213.05,       214.00,-0.44
L,NTPC LTD,       104.45,       104.90,-0.43
L,WIPRO LTD,       356.90,       358.40,-0.42
L,GAIL (INDIA) LTD,       123.90,       124.40,-0.4
L,ICICI BANK LTD.,       510.40,       512.45,-0.4
L,ASIAN PAINTS LIMITED,      2575.05,      2582.45,-0.29
L,GRASIM INDUSTRIES LTD,       912.70,       914.80,-0.23
L,BHARTI AIRTEL LIMITED,       515.10,       516.20,-0.21
L,MAHINDRA & MAHINDRA LTD,       730.65,       731.95,-0.18
L,TITAN COMPANY LIMITED,      1501.95,      1504.45,-0.17
 , , , , 
 ,Nifty Next 50 Sec., , , 
 , , , , 
G,BERGER PAINTS (I) LTD,       709.65,       689.75,2.89
G,GENERAL INS CORP OF INDIA,       145.35,       141.35,2.83
G,ADANI GREEN ENERGY LTD,      1041.55,      1019.40,2.17
G,SBI CARDS & PAY SER LTD,       840.30,       827.20,1.58
G,ALKEM LABORATORIES LTD.,      2937.00,      2896.10,1.41
G,CADILA HEALTHCARE LIMITED,       475.05,       469.00,1.29
G,HAVELLS INDIA LIMITED,       911.05,       901.15,1.1
G,LUPIN LIMITED,       970.50,       960.35,1.06
G,MOTHERSON SUMI SYSTEMS LT,       158.30,       156.75,0.99
G,NMDC LTD.,       115.60,       114.60,0.87
G,ORACLE FIN SERV SOFT LTD.,      3134.35,      3112.15,0.71
G,L&T INFOTECH LIMITED,      3306.00,      3288.95,0.52
G,ACC LIMITED,      1639.30,      1633.10,0.38
G,PIDILITE INDUSTRIES LTD,      1629.65,      1625.95,0.23
G,CONTAINER CORP OF IND LTD,       408.75,       407.85,0.22
G,BOSCH LIMITED,     13353.45,     13324.15,0.22
G,BIOCON LIMITED.,       460.90,       460.00,0.2
G,MUTHOOT FINANCE LIMITED,      1218.50,      1217.55,0.08
G,MARICO LIMITED,       413.30,       413.15,0.04
 , , , , 
L,BANK OF BARODA,        63.80,        66.40,-3.92
L,AVENUE SUPERMARTS LIMITED,      2556.05,      2627.05,-2.7
L,PUNJAB NATIONAL BANK,        37.00,        37.95,-2.5
L,HINDUSTAN PETROLEUM CORP,       225.95,       230.60,-2.02
L,UNITED SPIRITS LIMITED,       583.55,       594.85,-1.9
