MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
Y, , ,Nifty 50,     13682.70,     13713.55,     13773.25,     13673.55,     13740.70,589256122315.46,2807955664,Y, ,17449774,     13773.25,      7511.10
Y, , ,NIFTY50 EQL Wgt,     14479.30,     14506.25,     14532.75,     14438.15,     14468.90,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY100 EQL Wgt,     15425.55,     15454.70,     15486.75,     15361.35,     15394.55,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY100 LowVol30,     10712.55,     10727.30,     10739.15,     10695.85,     10716.90,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY Alpha 50,     19495.80,     19579.20,     19737.70,     19571.05,     19617.05,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY MIDCAP 150,      7858.70,      7873.95,      7914.15,      7822.75,      7843.30,0,0,Y, ,0,      7914.15,      4088.05
Y, , ,NIFTY SMLCAP 50,      3465.10,      3487.40,      3503.35,      3461.25,      3474.20,0,0,Y, ,0,      3503.35,      1545.45
Y, , ,NIFTY SMLCAP 250,      5981.80,      6014.05,      6034.15,      5970.05,      5980.00,0,0,Y, ,0,      6034.15,      2867.40
Y, , ,NIFTY MIDSML 400,      7186.95,      7208.50,      7239.40,      7160.35,      7176.50,0,0,Y, ,0,      7239.40,      3650.20
Y, , ,NIFTY200 QUALTY30,     11959.40,     11960.85,     12014.40,     11934.95,     11958.95,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty FinSrv25 50,     14382.85,     14421.75,     14534.40,     14361.80,     14486.70,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY AlphaLowVol,     13499.20,     13505.60,     13571.60,     13466.05,     13486.60,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty200Momentm30,     13364.35,     13382.40,     13484.90,     13372.20,     13394.50,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty100ESGSecLdr,      2351.45,      2356.60,      2366.65,      2349.95,      2363.35,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty IT,     22906.25,     22913.15,     22960.50,     22835.40,     22892.25,0,0,Y, ,0,     22960.50,     10991.25
Y, , ,Nifty Next 50,     32143.85,     32211.05,     32303.90,     31953.50,     32031.75,0,0,Y, ,0,     32303.90,     18384.05
Y, , ,Nifty Bank,     30698.40,     30791.20,     30945.20,     30643.90,     30847.05,0,0,Y, ,0,     32613.10,     16116.25
Y, , ,NIFTY MIDCAP 100,     20906.45,     20947.30,     21064.35,     20789.50,     20849.40,0,0,Y, ,0,     21064.35,     10749.95
Y, , ,Nifty 500,     11320.10,     11347.10,     11385.60,     11322.75,     11346.35,0,0,Y, ,0,     11385.60,      6151.60
Y, , ,Nifty 100,     13808.05,     13838.90,     13890.10,     13802.95,     13852.55,0,0,Y, ,0,     13890.10,      7624.85
Y, , ,Nifty Midcap 50,      5905.90,      5911.55,      5954.55,      5866.80,      5883.20,0,0,Y, ,0,      5954.55,      2855.35
Y, , ,Nifty Realty,       303.85,       304.55,       308.25,       301.25,       305.65,0,0,Y, ,0,       336.35,       160.85
Y, , ,Nifty Infra,      3682.70,      3694.05,      3698.85,      3667.20,      3676.35,0,0,Y, ,0,      3698.85,      2072.60
Y, , ,Nifty Energy,     17383.15,     17454.95,     17484.10,     17285.20,     17323.55,0,0,Y, ,0,     17484.10,      9750.00
Y, , ,Nifty FMCG,     34195.85,     34221.40,     34234.80,     33955.35,     34013.55,0,0,Y, ,0,     34596.05,     22699.05
Y, , ,Nifty MNC,     15609.05,     15630.20,     15646.45,     15496.35,     15530.55,0,0,Y, ,0,     15653.00,      9648.20
Y, , ,Nifty Pharma,     12547.50,     12585.00,     12731.45,     12561.25,     12602.40,0,0,Y, ,0,     12731.45,      6242.85
Y, , ,Nifty PSE,      2916.05,      2924.75,      2924.75,      2879.45,      2888.00,0,0,Y, ,0,      3286.05,      1952.20
Y, , ,Nifty PSU Bank,      1803.75,      1808.20,      1821.45,      1771.90,      1778.10,0,0,Y, ,0,      2587.20,      1078.45
Y, , ,Nifty Serv Sector,     19042.95,     19087.30,     19214.20,     19011.60,     19181.10,0,0,Y, ,0,     19214.20,     10401.30
Y, , ,India VIX,19.2000,19.2000,21.6225,14.0525,19.1575,0,0,Y, ,0,86.6350,9.6175
Y, , ,Nifty Auto,      9239.10,      9265.70,      9288.00,      9146.40,      9185.20,0,0,Y, ,0,      9456.65,      4452.20
Y, , ,Nifty Metal,      3271.75,      3272.15,      3289.30,      3213.60,      3227.70,0,0,Y, ,0,      3289.30,      1480.70
Y, , ,Nifty Media,      1727.35,      1729.90,      1752.40,      1685.95,      1693.85,0,0,Y, ,0,      1918.50,       972.95
Y, , ,NIFTY SMLCAP 100,      6962.35,      7003.30,      7030.95,      6958.60,      6972.50,0,0,Y, ,0,      7030.95,      3202.90
Y, , ,Nifty 200,      7105.75,      7121.40,      7146.75,      7104.40,      7123.75,0,0,Y, ,0,      7146.75,      3893.05
Y, , ,Nifty Div Opps 50,      2859.10,      2863.20,      2863.90,      2837.90,      2842.75,0,0,Y, ,0,      2863.90,      1712.30
Y, , ,Nifty Commodities,      3841.25,      3857.05,      3868.90,      3816.20,      3826.65,0,0,Y, ,0,      3868.90,      2068.80
Y, , ,Nifty Consumption,      5857.15,      5860.45,      5866.50,      5814.50,      5833.30,0,0,Y, ,0,      5866.50,      3614.85
Y, , ,Nifty Fin Service,     14789.30,     14843.55,     14988.90,     14772.40,     14963.55,0,0,Y, ,0,     14988.90,      7984.20
Y, , ,Nifty50 Div Point,        79.54,        82.51,        82.51,        82.51,        82.51,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty100 Liq 15,      3331.90,      3339.30,      3357.60,      3328.30,      3344.25,0,0,Y, ,0,      3894.15,      1878.95
Y, , ,Nifty CPSE,      1717.55,      1723.40,      1724.30,      1698.65,      1703.85,0,0,Y, ,0,      1965.85,      1136.65
Y, , ,Nifty GrowSect 15,      6899.50,      6919.85,      6961.40,      6888.80,      6947.65,0,0,Y, ,0,      6961.40,      3949.25
Y, , ,Nifty50 PR 2x Lev,      5828.40,      5854.15,      5904.65,      5824.45,      5877.30,0,0,Y, ,0,      5904.65,      1883.80
Y, , ,Nifty50 PR 1x Inv,       321.30,       320.60,       321.40,       319.20,       319.95,0,0,Y, ,0,       600.80,       319.20
Y, , ,Nifty50 TR 2x Lev,      7739.90,      7777.50,      7844.55,      7738.00,      7808.20,0,0,Y, ,0,      7844.55,      2465.75
Y, , ,Nifty50 TR 1x Inv,       278.95,       278.30,       279.00,       277.10,       277.75,0,0,Y, ,0,       525.50,       277.10
Y, , ,Nifty50 Value 20,      6726.65,      6731.60,      6732.95,      6690.35,      6700.65,0,0,Y, ,0,      6733.30,      3821.10
Y, , ,Nifty Mid Liq 15,      5181.45,      5182.90,      5255.55,      5172.65,      5189.45,0,0,Y, ,0,      5255.55,      2448.20
Y, , ,Nifty Pvt Bank,     16999.60,     17040.60,     17141.75,     16964.85,     17087.90,0,0,Y, ,0,     18030.20,      8487.25
Y, , ,NIFTY100 Qualty30,      3230.35,      3230.55,      3247.25,      3223.30,      3237.65,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty GS 8 13Yr,      2245.17,      2245.54,      2246.34,      2244.85,      2245.04,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty GS 10Yr,      2022.34,      2022.66,      2024.21,      2021.80,      2022.00,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty GS 10Yr Cln,       965.10,       965.10,       965.85,       964.68,       964.78,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty GS 4 8Yr,      2400.17,      2400.56,      2401.33,      2400.42,      2400.79,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty GS 11 15Yr,      2432.96,      2433.38,      2434.94,      2431.96,      2432.44,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty GS 15YrPlus,      2673.99,      2674.48,      2675.33,      2674.48,      2674.92,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty GS Compsite,      2292.53,      2292.91,      2293.93,      2292.41,      2292.57,0,0,Y, ,0,          .00,          .00
 , , , , , , , , , , ,Y, , , , 
 , , , , , , , , , , ,Y, , , , 
 , , ,NIFTY 50 Sec, , , , , , , ,Y, , , , 
N,EQ,ADANIPORTS,ADANI PORT & SEZ LTD,       475.55,       478.00,       478.80,       465.55,       467.75,               3181587815.30,6757703,Y, ,102164,       480.45,       203.00
N,EQ,ASIANPAINT,ASIAN PAINTS LIMITED,      2582.45,      2569.00,      2603.35,      2557.00,      2575.05,               4511277273.20,1750663,Y, ,93045,      2603.35,      1431.20
N,EQ,AXISBANK,AXIS BANK LIMITED,       606.10,       607.25,       611.00,       603.20,       605.40,               8851777346.15,14598759,Y, ,158866,       765.85,       286.00
N,EQ,BAJAJ-AUTO,BAJAJ AUTO LIMITED,      3303.50,      3307.10,      3330.00,      3258.00,      3270.45,               2223119480.00,678073,Y, ,56234,      3384.75,      1788.65
N,EQ,BAJAJFINSV,BAJAJ FINSERV LTD.,      9257.70,      9257.70,      9399.90,      9208.00,      9294.10,               5126425024.35,550738,Y, ,50357,      9950.00,      3985.30
N,EQ,BAJFINANCE,BAJAJ FINANCE LIMITED,      5146.60,      5139.85,      5303.15,      5101.60,      5286.70,              19545650192.25,3733152,Y, ,161871,      5303.15,      1783.00
N,EQ,BHARTIARTL,BHARTI AIRTEL LIMITED,       516.20,       517.00,       522.50,       512.00,       515.10,              10153858361.85,19654749,Y, ,183941,       612.00,       361.75
N,EQ,BPCL,BHARAT PETROLEUM CORP  LT,       399.60,       402.50,       402.55,       394.30,       395.40,               2436211203.75,6116994,Y, ,88100,       510.00,       252.00
N,EQ,BRITANNIA,BRITANNIA INDUSTRIES LTD,      3752.60,      3740.10,      3767.00,      3721.00,      3729.75,               1828226229.95,488772,Y, ,45479,      4010.00,      2100.00
