SECURITY,NEW,PREVIOUS,NEW_STATUS
BERGER PAINTS (I) LTD,743,738.45,H
COROMANDEL INTERNTL. LTD,864.85,838.95,H
ONE POINT ONE SOL LTD,17.15,16.8,H
ORCHID PHARMA LIMITED,106.55,101.5,H
SBI-ETF NIFTY 50,151,150.9,H
WHIRLPOOL OF INDIA LTD,2607.85,2579.9,H
GLAND PHARMA LIMITED,2508.55,2440,H
GLOBE TEXTILES (I) LTD.,66,64.65,H
PRINCE PIPES FITTINGS LTD,285,283.85,H
TOTAL TRANSPORT SYS LTD,69.95,69.3,H
AAKASH EXPLORATION SER L,69.5,67.85,H
ADANI TRANSMISSION LTD,455.15,445,H
AGC NETWORKS LIMITED,819.6,814.4,H
DEV INFO TECHNOLOGY LTD,139.55,139.45,H
DHANI RS.1.10 PPD UP,190.6,182.25,H
GODHA CABCON INSULAT LTD,38.1,36.3,H
HDFCAMC - HDFCSENETF,5180,5100,H
HEIDELBERGCEMENT (I) LTD,221,218,H
KPIT TECHNOLOGIES LIMITED,133.4,129.7,H
SEC RED NCD 8.75% SR. II,1065,1059.99,H
FIRSTSOURCE SOLU. LTD.,110.25,94.2,H
GOLDIAM INTERNATIONAL LTD,250,234.5,H
ICICI PRUDENTIAL NV20 ETF,73,72.7,H
KOTAKMAMC - KTKNV20ETF,73.99,73.44,H
MAX FINANCIAL SERV LTD,703,697.5,H
PILANI INV & IND COR LTD,2888.7,2643.15,H
UNITED DRILLING TOOLS LTD,298,294.45,H
UTIAMC - UTIBANKETF,323.51,320.96,H
BOROSIL RENEWABLES LTD,254.5,245.15,H
SEC RED NCD SR. III,1138.3,1133.35,H
INDIA GRID TRUST,125,121,H
PAISALO DIGITAL LIMITED,624.7,535,H
SEC RED NCD 8.01% SR.II,1272,1225,H
HDFCAMC - HBANKETF,310,308,H
HOUSING DVPT FIN CORP LTD,695,685,H
BOND 0% 2021 TR-2 SR-II,10670,10665.05,H
KOTAK MAHINDRA BANK LTD,1996.1,1978,H
KREBS BIOCHEMICALS & IND,137.75,135,H
L&T TECHNOLOGY SER. LTD.,2420,2390,H
NIP IND ETF SHARIAH BEES,360,357,H
SEC RED NCD 9.40% SR. III,1089,1088.4,H
TANTIA CONST LTD,1.8,1.75,H
VAIBHAV GLOBAL LIMITED,2240.3,2237,H
MRS BECTORS FOOD SPE LTD,624,600,H
BOROSIL LIMITED,214.95,214.65,H
MOTILALAMC - G5,49.17,47.78,H
GODREJ PROPERTIES LTD,1446,1404.85,H
IBULLSAMC - IBMFNIFTY,148,144.87,H
LINDE INDIA LIMITED,1004.9,999,H
RAJ OIL MILLS LIMITED,41.75,39.8,H
ADANI PORT & SEZ LTD,492.95,482.9,H
DHANI SERVICES LIMITED,345,331,H
DIGISPICE TECHNOLOGIES LT,20.05,19.1,H
HINDUSTAN FOODS LIMITED,1558.2,1312.3,H
MOST SHARES M50 ETF,135.8,135.5,H
NAHAR POLY FILMS LIMITED,106.7,103,H
NESTLE INDIA LIMITED,18844,18830,H
PARABOLIC DRUGS LTD,4.45,4.25,H
PUNJAB CHEM & CROP PROT L,825,807.65,H
UTIAMC - UTISENSETF,506.62,505,H
AAA TECHNOLOGIES LIMITED,42.2,42.25,L
JUMP NETWORKS LIMITED,14.95,15.25,L
TCIFINANCELTD-ROLL SETT,4.9,5,L
ANANT RAJ GLOBAL LIMITED,19.05,20.05,L
MOTILALAMC - G5,46.31,47.66,L
RAVINDER HEIGHTS LIMITED,22.95,24.15,L
VALIANT ORGANICS LIMITED,1573.1,1605.5,L
GOI LOAN  3.96% 2022,77.51,81.54,L
FAIRCHEM ORGANICS LIMITED,618.15,627,L
GRAND FOUNDRY LTD,2.05,2.1,L

