SECURITY,PREV_CL_PR,CLOSE_PRIC,NET_TRDQTY,NET_TRDVAL
TATA MOTORS LIMITED,       175.95,       186.35,98012135,              18073634113.15
RELIANCE INDUSTRIES LTD,      1994.15,      2003.30,7947719,              15948771620.10
BAJAJ FINANCE LIMITED,      5184.90,      5204.10,1932606,              10083058721.60
STATE BANK OF INDIA,       266.85,       275.20,36870242,              10037366708.40
HDFC BANK LTD,      1397.10,      1412.85,5849597,               8273855755.35
ICICI BANK LTD.,       513.55,       520.10,14470472,               7499174202.40
SUN PHARMACEUTICAL IND L,       590.45,       586.95,12299793,               7259374964.75
MRS BECTORS FOOD SPE LTD,       594.20,       559.15,12523905,               7128927161.05
ADANI ENTERPRISES LIMITED,       473.65,       490.85,13714406,               6792681492.00
BHARTI AIRTEL LIMITED,       517.30,       521.60,12882390,               6729343198.60
INDIABULLS HSG FIN LTD,       204.60,       216.90,31363853,               6679813885.30
TATA STEEL LIMITED,       622.30,       632.65,10480517,               6618711447.95
DLF LIMITED,       226.10,       233.20,27762006,               6525860739.20
VEDANTA LIMITED,       162.85,       163.45,38262010,               6210429068.85
TATA CONSULTANCY SERV LT,      2909.35,      2929.40,2108994,               6177467465.10
INFOSYS LIMITED,      1236.05,      1240.30,4607051,               5715406465.10
KOTAK MAHINDRA BANK LTD,      1960.60,      1988.90,2743069,               5438108518.80
AXIS BANK LIMITED,       610.20,       617.65,8444506,               5220024663.35
HDFC LTD,      2455.15,      2476.45,2085391,               5130918234.45
GODREJ PROPERTIES LTD,      1364.10,      1424.20,3561184,               5077929495.75
INDUSIND BANK LIMITED,       852.80,       866.95,5449095,               4714880019.10
PUNJAB NATIONAL BANK,        31.45,        32.40,145990073,               4711103889.60
JSW STEEL LIMITED,       366.25,       386.60,11720459,               4456122764.00
SHRIRAM TRANSPORT FIN CO.,       996.60,      1016.05,4313417,               4381931373.30
LARSEN & TOUBRO LTD.,      1262.20,      1289.40,3405825,               4366118062.50

