MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
Y, , ,Nifty 50,     13749.25,     13815.15,     13885.30,     13811.55,     13873.20,478706891784.84,2702659243,Y, ,15307114,     13885.30,      7511.10
Y, , ,NIFTY50 EQL Wgt,     14349.55,     14438.40,     14527.35,     14430.05,     14515.20,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY100 EQL Wgt,     15286.95,     15385.05,     15463.15,     15378.35,     15450.80,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY100 LowVol30,     10757.40,     10810.70,     10843.25,     10786.85,     10837.20,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY Alpha 50,     19521.20,     19658.70,     19753.10,     19611.50,     19733.90,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY MIDCAP 150,      7733.60,      7789.35,      7826.40,      7778.30,      7813.85,0,0,Y, ,0,      7914.15,      4088.05
Y, , ,NIFTY SMLCAP 50,      3457.00,      3488.45,      3520.70,      3483.85,      3507.90,0,0,Y, ,0,      3520.70,      1545.45
Y, , ,NIFTY SMLCAP 250,      5926.55,      5978.95,      6032.05,      5977.75,      6027.05,0,0,Y, ,0,      6034.15,      2867.40
Y, , ,NIFTY MIDSML 400,      7087.25,      7141.95,      7182.25,      7136.90,      7175.20,0,0,Y, ,0,      7239.40,      3650.20
Y, , ,NIFTY200 QUALTY30,     12046.20,     12104.10,     12152.45,     12081.70,     12141.75,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty FinSrv25 50,     14318.50,     14401.35,     14527.90,     14391.80,     14513.25,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY AlphaLowVol,     13628.35,     13686.25,     13704.85,     13650.05,     13690.90,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty200Momentm30,     13553.70,     13623.45,     13630.95,     13553.30,     13589.95,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty100ESGSecLdr,      2376.40,      2386.75,      2397.10,      2385.30,      2395.00,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty IT,     24009.25,     24065.40,     24192.05,     24037.80,     24100.30,0,0,Y, ,0,     24228.80,     10991.25
Y, , ,Nifty Next 50,     32068.55,     32261.90,     32408.50,     32230.75,     32351.05,0,0,Y, ,0,     32408.50,     18384.05
Y, , ,Nifty Bank,     30402.20,     30558.85,     30929.05,     30538.15,     30880.95,0,0,Y, ,0,     32347.20,     16116.25
Y, , ,NIFTY MIDCAP 100,     20475.75,     20624.10,     20753.70,     20590.00,     20718.60,0,0,Y, ,0,     21064.35,     10749.95
Y, , ,Nifty 500,     11325.25,     11387.45,     11443.45,     11386.10,     11434.70,0,0,Y, ,0,     11443.45,      6151.60
Y, , ,Nifty 100,     13862.10,     13930.80,     13997.00,     13929.20,     13986.70,0,0,Y, ,0,     13997.00,      7624.85
Y, , ,Nifty Midcap 50,      5741.45,      5780.80,      5835.10,      5776.25,      5822.80,0,0,Y, ,0,      5954.55,      2855.35
Y, , ,Nifty Realty,       299.25,       302.80,       310.50,       302.45,       307.00,0,0,Y, ,0,       336.35,       160.85
Y, , ,Nifty Infra,      3620.95,      3643.70,      3659.90,      3641.00,      3656.35,0,0,Y, ,0,      3698.85,      2072.60
Y, , ,Nifty Energy,     16860.70,     16958.65,     17057.85,     16915.65,     17005.50,0,0,Y, ,0,     17484.10,      9750.00
Y, , ,Nifty FMCG,     34115.65,     34262.05,     34369.40,     34079.45,     34181.10,0,0,Y, ,0,     34596.05,     22699.05
Y, , ,Nifty MNC,     15568.20,     15661.10,     15695.75,     15588.00,     15633.00,0,0,Y, ,0,     15695.75,      9648.20
Y, , ,Nifty Pharma,     12908.95,     12989.40,     12995.20,     12842.55,     12874.35,0,0,Y, ,0,     12995.20,      6242.85
Y, , ,Nifty PSE,      2770.20,      2794.00,      2808.20,      2788.00,      2802.85,0,0,Y, ,0,      3286.05,      1952.20
Y, , ,Nifty PSU Bank,      1703.80,      1717.55,      1754.40,      1716.05,      1749.70,0,0,Y, ,0,      2568.15,      1078.45
Y, , ,Nifty Serv Sector,     19216.00,     19295.00,     19442.75,     19293.90,     19410.05,0,0,Y, ,0,     19442.75,     10401.30
Y, , ,India VIX,19.9675,19.9675,21.0225,18.5975,20.4275,0,0,Y, ,0,86.6350,10.1650
Y, , ,Nifty Auto,      8978.05,      9035.85,      9102.70,      9029.35,      9066.85,0,0,Y, ,0,      9456.65,      4452.20
Y, , ,Nifty Metal,      3144.30,      3181.40,      3232.50,      3173.75,      3224.85,0,0,Y, ,0,      3289.30,      1480.70
Y, , ,Nifty Media,      1638.15,      1639.35,      1658.35,      1636.95,      1654.35,0,0,Y, ,0,      1918.50,       972.95
