GAIN_LOSS,SECURITY,CLOSE_PRIC,PREV_CL_PR,PERCENT_CG
 ,Nifty 50 Sec., , , 
 , , , , 
G,TATA MOTORS LIMITED,       186.35,       175.95,5.91
G,JSW STEEL LIMITED,       386.60,       366.25,5.56
G,HDFC LIFE INS CO LTD,       678.70,       657.25,3.26
G,TITAN COMPANY LIMITED,      1543.55,      1495.90,3.19
G,SBI LIFE INSURANCE CO LTD,       901.65,       873.90,3.18
G,STATE BANK OF INDIA,       275.20,       266.85,3.13
G,LARSEN & TOUBRO LTD.,      1289.40,      1262.20,2.15
G,GAIL (INDIA) LTD,       122.65,       120.15,2.08
G,ULTRATECH CEMENT LIMITED,      5142.15,      5044.75,1.93
G,TATA STEEL LIMITED,       632.65,       622.30,1.66
G,INDUSIND BANK LIMITED,       866.95,       852.80,1.66
G,INDIAN OIL CORP LTD,        91.70,        90.25,1.61
G,KOTAK MAHINDRA BANK LTD,      1988.90,      1960.60,1.44
G,BHARAT PETROLEUM CORP  LT,       382.75,       377.55,1.38
G,ASIAN PAINTS LIMITED,      2683.90,      2648.25,1.35
G,ICICI BANK LTD.,       520.10,       513.55,1.28
G,HINDALCO  INDUSTRIES  LTD,       239.90,       236.95,1.24
G,AXIS BANK LIMITED,       617.65,       610.20,1.22
G,BAJAJ AUTO LIMITED,      3414.70,      3374.75,1.18
G,HDFC BANK LTD,      1412.85,      1397.10,1.13
G,GRASIM INDUSTRIES LTD,       906.65,       897.15,1.06
G,ADANI PORT & SEZ LTD,       483.55,       478.55,1.04
G,COAL INDIA LTD,       137.65,       136.25,1.03
G,UPL LIMITED,       453.40,       449.40,.89
G,HDFC LTD,      2476.45,      2455.15,.87
G,BHARTI AIRTEL LIMITED,       521.60,       517.30,.83
G,POWER GRID CORP. LTD.,       191.55,       190.00,.82
G,OIL AND NATURAL GAS CORP.,        93.80,        93.15,.7
G,TATA CONSULTANCY SERV LT,      2929.40,      2909.35,.69
G,EICHER MOTORS LTD,      2451.35,      2436.75,.6
 , , , , 
L,SUN PHARMACEUTICAL IND L,       586.95,       590.45,-0.59
L,HINDUSTAN UNILEVER LTD.,      2388.90,      2402.25,-0.56
L,SHREE CEMENT LIMITED,     23715.55,     23826.75,-0.47
L,BRITANNIA INDUSTRIES LTD,      3603.55,      3618.25,-0.41
L,CIPLA LTD,       830.15,       833.20,-0.37
L,TECH MAHINDRA LIMITED,       947.10,       947.25,-0.02
 , , , , 
 ,Nifty Next 50 Sec., , , 
 , , , , 
G,MOTHERSON SUMI SYSTEMS LT,       160.65,       154.05,4.28
G,UNITED BREWERIES LTD,      1163.80,      1126.40,3.32
G,DLF LIMITED,       233.20,       226.10,3.14
G,PUNJAB NATIONAL BANK,        32.40,        31.45,3.02
G,PIRAMAL ENTERPRISES LTD,      1445.60,      1406.60,2.77
G,INTERGLOBE AVIATION LTD,      1687.90,      1643.80,2.68
G,BANK OF BARODA,        62.40,        60.85,2.55
G,MUTHOOT FINANCE LIMITED,      1218.10,      1187.95,2.54
G,POWER FIN CORP LTD.,       116.85,       114.15,2.37
G,NMDC LTD.,       115.95,       113.35,2.29
G,PETRONET LNG LIMITED,       251.15,       246.10,2.05
G,DABUR INDIA LTD,       525.05,       514.55,2.04
G,BANDHAN BANK LIMITED,       406.15,       398.15,2.01
G,UNITED SPIRITS LIMITED,       579.85,       569.35,1.84
G,PIDILITE INDUSTRIES LTD,      1757.35,      1731.85,1.47
G,SIEMENS LTD,      1572.95,      1550.75,1.43
G,MARICO LIMITED,       406.80,       401.30,1.37
G,BERGER PAINTS (I) LTD,       740.90,       731.05,1.35
G,ADANI TRANSMISSION LTD,       433.65,       428.10,1.3
G,BOSCH LIMITED,     12840.70,     12686.30,1.22
G,ICICI PRU LIFE INS CO LTD,       500.95,       496.15,0.97
G,COLGATE PALMOLIVE LTD.,      1583.40,      1568.85,0.93
G,ICICI LOMBARD GIC LIMITED,      1497.65,      1484.05,0.92
G,GODREJ CONSUMER PRODUCTS,       727.25,       721.00,0.87
G,HAVELLS INDIA LIMITED,       903.60,       895.90,0.86
G,LUPIN LIMITED,       983.75,       976.20,0.77
G,HINDUSTAN PETROLEUM CORP,       215.20,       213.65,0.73
G,BAJAJ HOLDINGS & INVS LTD,      3092.15,      3073.05,0.62
G,SBI CARDS & PAY SER LTD,       840.00,       835.20,0.57
G,ACC LIMITED,      1622.45,      1614.65,0.48
 , , , , 
L,BIOCON LIMITED.,       465.80,       481.95,-3.35
L,ORACLE FIN SERV SOFT LTD.,      3181.90,      3220.00,-1.18
L,P&G HYGIENE & HEALTH CARE,     10969.90,     11086.95,-1.06
L,CADILA HEALTHCARE LIMITED,       487.70,       489.50,-0.37
