SYMBOL,SERIES,SECURITY,HIGH/LOW,INDEX FLAG
21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,H
3IINFOTECH,EQ,3I INFOTECH LTD.,H
3PLAND,EQ,3P LAND HOLDINGS LIMITED,H
AARON,EQ,AARON INDUSTRIES LIMITED,H
ABMINTLTD,BE,ABM INTERNATIONAL LTD,H
ADANIPOWER,EQ,ADANI POWER LTD,H
ADHUNIKIND,BE,ADHUNIK INDUSTRIES LTD,H
ADROITINFO,BE,ADROIT INFOTECH LIMITED,H
ADSL,EQ,ALLIED DIGITAL SERV. LTD,H
AGROPHOS,EQ,AGRO PHOS INDIA LIMITED,H
ANANTRAJ,EQ,ANANT RAJ LIMITED,H
ANKITMETAL,EQ,ANKIT MET & POW LTD,H
ANSALAPI,BE,ANSAL PROP & INFRA LTD,H
ANSALHSG,EQ,ANSAL HOUSING LIMITED,H
ARCHIES,EQ,ARCHIES LTD,H
ARCOTECH,BZ,ARCOTECH LIMITED,H
ARENTERP,EQ,RAJDARSHAN INDUSTRIES LTD,H
ARROWGREEN,EQ,ARROW GREENTECH LIMITED,H
ARSHIYA,EQ,ARSHIYA LIMITED,H
ARSSINFRA,EQ,ARSS INFRA PROJ. LTD,H
ASHAPURMIN,EQ,ASHAPURA MINECHEM LTD,H
ASHIMASYN,BE,ASHIMA LTD,H
AUTOIND,EQ,AUTOLINE INDUSTRIES LTD,H
AXISCADES,EQ,AXISCADES TECH LTD,H
AYMSYNTEX,BE,AYM SYNTEX LIMITED,H
BAFNAPH,BE,BAFNA PHARMACEUTICALS LTD,H
BALLARPUR,BZ,BALLARPUR INDUSTRIES LTD,H
BALMLAWRIE,EQ,BALMER LAWRIE & CO LTD,H
BANKA,EQ,BANKA BIOLOO LIMITED,H
BANSWRAS,EQ,BANSWARA SYNTEX LIMITED,H
BARTRONICS,BZ,BARTRONICS INDIA LIMITED,H
BCG,EQ,BRIGHTCOM GROUP LIMITED,H
BCONCEPTS,SM,BRAND CONCEPTS LIMITED,H
BCP,BE,B.C. POWER CONTROLS LTD,H
BHANDARI,EQ,BHANDARI HOSIERY EXP LTD,H
BILENERGY,BZ,BIL ENERGY SYSTEMS LTD,H
BLBLIMITED,EQ,BLB LIMITED,H
BLKASHYAP,EQ,B.L.KASHYAP & SON LTD,H
BOHRA,SM,BOHRA INDUSTRIES LIMITED,H
BORORENEW,EQ,BOROSIL RENEWABLES LTD,H
BSELINFRA,EQ,BSEL INFRASTRUCTURE REALT,H
BURNPUR,BE,BURNPUR CEMENT LTD.,H
CALSOFT,EQ,CALIFORNIA SOFTWARE CO LT,H
CANDC,BZ,C&C CONST. LTD,H
CASTEXTECH,BE,CASTEX TECHNOLOGIES LTD.,H
CCCL,BE,CONS. CONST. CONSORT LTD,H
CENTEXT,BE,CENTURY EXTRUSIONS LTD,H
CESCVENT,EQ,CESC VENTURES LIMITED,H
CGPOWER,EQ,CG POWER AND IND SOL LTD,H
CHROMATIC,BZ,CHROMATIC INDIA LTD,H
CMICABLES,BE,CMI LIMITED,H
COMPUSOFT,BE,COMPUCOM SOFTWARE LTD,H
COUNCODOS,BE,COUNTRY CONDO'S LIMITED,H
CREATIVEYE,EQ,CREATIVE EYE LIMITED,H
CTE,EQ,CAMBRIDGE TECH ENTER LTD,H
DBREALTY,BE,D B REALTY LIMITED,H
DCMFINSERV,EQ,DCM FINANCIAL SERVICES LT,H
DCMNVL,BE,DCM NOUVELLE LIMITED,H
DHARSUGAR,BE,DHARANISUGARS &CHEMICALS,H
DIAPOWER,BZ,DIAMOND POWER INFRA LTD,H
DIGISPICE,BE,DIGISPICE TECHNOLOGIES LT,H
DQE,EQ,DQ ENTERTAINMENT INT LTD,H
EASUNREYRL,BZ,EASUN REYROLLE LTD,H
EBANK,EQ,EDELWEISS ETF-NIFTY BANK,H
EDUCOMP,BZ,EDUCOMP SOLUTIONS LTD,H
EKC,EQ,EVEREST KANTO CYLINDERLTD,H
EMCO,BZ,EMCO LIMITED,H
ENERGYDEV,EQ,ENERGY DEVE. CO.LTD,H
EUROMULTI,BZ,EURO MULTIVISION LTD,H
EXCEL,BE,EXCEL REALTY N INFRA LTD,H
FCSSOFT,BE,FCS SOFTWARE SOLN. LTD.,H
FELDVR,EQ,FUTURE ENTERPRISES LTD,H
FELIX,SM,FELIX INDUSTRIES LTD.,H
FILDF2GPD,MF,FRANTEMAMC - FILDF2GPD,H
FLEXITUFF,BE,FLEXITUFF VENTURES INT L,H
FSL,EQ,FIRSTSOURCE SOLU. LTD.,H
GAMMNINFRA,EQ,GAMMON INFRA PROJ LTD.,H
GANESHHOUC,EQ,GANESH HOUSING CORP LTD,H
GARDENSILK,EQ,GARDEN SILK MILLS LTD,H
GAYAHWS,BE,GAYATRI HIGHWAYS LIMITED,H
GENESYS,EQ,GENESYS INTL CORPN LTD,H
GILLANDERS,EQ,GILLANDERS ARBUTHNOT LTD,H
GISOLUTION,EQ,GI ENGINEERING SOLNS LTD,H
GLFL,EQ,GUJARAT LEASE FINANCING L,H
GLOBAL,EQ,GLOBAL EDUCATION LIMITED,H
GODHA,EQ,GODHA CABCON INSULAT LTD,H
GPTINFRA,EQ,GPT INFRAPROJECTS LTD,H
GREENPANEL,EQ,GREENPANEL INDUSTRIES LTD,H
GROBTEA,EQ,THE GROB TEA COMPANY LTD,H
GTL,EQ,GTL LTD,H
GTLINFRA,EQ,GTL INFRA.LTD,H
GTNIND,BE,GTN INDUSTRIES LIMITED,H
GUJRAFFIA,BE,GUJARAT RAFFIA INDUST LTD,H
GVKPIL,BZ,GVK POW. & INFRA LTD.,H
HAVISHA,BE,SRI HAVISHA HOSP & INFR L,H
HBLPOWER,EQ,HBL POWER SYSTEMS LTD.,H
HILTON,EQ,HILTON METAL FORGING LTD,H
HITECHCORP,EQ,HITECH CORPORATION LTD,H
HMT,BZ,HMT LTD -,H
HNDFDS,EQ,HINDUSTAN FOODS LIMITED,H
HUBTOWN,EQ,HUBTOWN LIMITED,H
IFGLEXPOR,EQ,IFGL REFRACTORIES LIMITED,H
IL&FSTRANS,BZ,IL&FS TRANS NET LTD,H
IMAGICAA,BE,IMAGICAAWORLD ENT LTD,H
INDOSOLAR,BZ,INDOSOLAR LIMITED,H
INDOTHAI,EQ,INDO THAI SEC LTD,H
INDOWIND,BE,INDOWIND ENERGY LTD,H
INFOBEAN,EQ,INFOBEANS TECHNO. LTD.,H
JAINSTUDIO,BZ,JAIN STUDIOS LIMITED,H
JBFIND,BE,JBF INDUS LTD -DEP-LS ML,H
JETAIRWAYS,BZ,JET AIRWAYS (INDIA) LTD.,H
JETKNIT,SM,JET KNITWEARS LTD.,H
JHS,EQ,JHS SVEND. LAB. LTD,H
JISLDVREQS,EQ,JAIN DVR EQUITY SHARES,H
JISLJALEQS,EQ,JAIN IRRIGATION SYSTEMS,H
JITFINFRA,BE,JITF INFRALOGISTICS LTD,H
JPASSOCIAT,EQ,JAIPRAKASH ASSOCIATES LTD,H
JPINFRATEC,BE,JAYPEE INFRATECH LTD,H
JPOLYINVST,BE,JIND POL INV & FIN CO LTD,H
JPPOWER,EQ,JAIPRAKASH POWER VEN. LTD,H
JSWISPL,EQ,JSW ISPAT SPE PRO LTD,H
JYOTISTRUC,BZ,JYOTI STRUCTURES LTD,H
KANANIIND,EQ,KANANI INDUSTRIES LTD,H
KECL,EQ,KIRLOSKAR ELECTRIC CO LTD,H
KHANDSE,EQ,KHANDWALA SECURITIES LTD,H
KOHINOOR,BZ,KOHINOOR FOODS LIMITED,H
KOPRAN,EQ,KOPRAN LTD,H
KREBSBIO,EQ,KREBS BIOCHEMICALS & IND,H
KRIDHANINF,BE,KRIDHAN INFRA LIMITED,H
KSERASERA,BZ,KSS LIMITED,H
KSK,BZ,KSK ENERGY VENTURES LTD,H
LAGNAM,SM,LAGNAM SPINTEX LIMITED,H
LAKPRE,BZ,LAKSHMI PRE SCRE LTD,H
LEXUS,SM,LEXUS GRANITO (INDIA) LTD,H
LGBFORGE,BE,LGB FORGE LIMITED,H
LSIL,BE,LLOYDS STEELS IND. LTD.,H
LYKALABS,EQ,LYKA LABS LTD,H
MACPOWER,EQ,MACPOWER CNC MACHINES LTD,H
MADHUCON,BE,MADHUCON PROJECTS LTD.,H
MAJESCO,EQ,MAJESCO LIMITED,H
MANAKSTEEL,EQ,MANAKSIA STEELS LTD,H
MANGTIMBER,EQ,MANGALAM TIMBER PRODUCTS,H
MARALOVER,BE,MARAL OVERSEAS LTD,H
MARATHON,EQ,MARATHON NXTGEN REALT LTD,H
MBECL,BE,MCNALLY BH. ENG. CO.LTD,H
MBLINFRA,EQ,MBL INFRASTRUCTURES LTD,H
MELSTAR,BZ,MELSTAR INFORMATION TECH,H
MERCATOR,BE,MERCATOR LIMITED,H
MHHL,SM,MOHINI HEALTH&HYGIENE LTD,H
MIC,BZ,MIC ELECTRONICS LIMITED,H
MINDTECK,EQ,MINDTECK (INDIA) LIMITED,H
MODIRUBBER,BE,MODI RUBBER LTD,H
MOHOTAIND,EQ,MOHOTA INDUSTRIES LIMITED,H
MORARJEE,BE,MORARJEE TEXTILES LIMITED,H
MRO-TEK,EQ,MRO-TEK REALTY LIMITED,H
MTEDUCARE,EQ,MT EDUCARE LTD,H
NAHARINDUS,BE,NAHAR INDS ENT LTD,H
NDRAUTO,EQ,NDR AUTO COMPONENTS LTD,H
NETF,EQ,TATAAML - NETF,H
NILASPACES,BE,NILA SPACES LIMITED,H
NITINFIRE,BZ,NITIN FIRE PROT IND. LTD.,H
NITINSPIN,BE,NITIN SPINNERS LIMITED,H
NTL,EQ,NEUEON TOWERS LIMITED,H
NUCLEUS,EQ,NUCLEUS SOFTWARE EXPORTS,H
OILCOUNTUB,BE,OIL COUNTRY TUBULAR LTD.,H
OISL,BZ,OCL IRON AND STEEL LTD,H
ONELIFECAP,BE,ONELIFE CAP ADVISORS LTD,H
ONMOBILE,EQ,ONMOBILE GLOBAL LTD.,H
OPTIEMUS,BE,OPTIEMUS INFRACOM LTD,H
ORCHPHARMA,BZ,ORCHID PHARMA LIMITED,H
ORTEL,BZ,ORTEL COMMUNICATIONS LTD,H
PAISALO,EQ,PAISALO DIGITAL LIMITED,H
PALREDTEC,BE,PALRED TECHNOLOGIES LTD,H
PAR,SM,PAR DRUGS AND CHEM LTD,H
PARABDRUGS,BZ,PARABOLIC DRUGS LTD,H
PARSVNATH,BE,PARSVNATH DEVELOPER LTD,H
PATSPINLTD,BE,PATSPIN INDIALTD.,H
PEARLPOLY,EQ,PEARL POLYMERS LTD,H
PNC,EQ,PRITISH NANDY COMMUNICATI,H
PRAENG,BE,PRAJAY ENG. SYN. LTD.,H
